"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Blazing Saddles","Comedy","$2,600,000","$119,500,000",""
"","California Split","Comedy","","$10,000,000",""
"","Claudine","Drama","","$6,000,000",""
"","Earthquake","Drama","","$79,700,000",""
"","Freebie and the Bean","","","$30,000,000",""
"","The Golden Voyage of Sinbad","","","$11,000,000",""
"","The Groove Tube","Comedy","","$20,447,000",""
"","Hearts and Minds","Documentary","","$28,287",""
"","Macon County Line","","","$18,800,000",""
"","That's Entertainment","","","$19,100,000",""
"","Thunderbolt and Lightfoot","Action","","$25,000,000",""
"","The Trial of Billy Jack","","","$89,000,000",""
"March 29","The Great Gatsby","Drama","$7,000,000","$26,533,200",""
"","Herbie Rides Again","","","$31,765,098",""
"","The Three Musketeers","","","$1,243,930",""
"April 5","The Sugarland Express","","","$7,000,000",""
"April 7","The Conversation","Thriller/Suspense","$1,600,000","$4,420,000",""
"April 9","It's the Easter Beagle, Charlie Brown","","","$0",""
"May 1","The Lord's of Flatbush","Comedy","","$0",""
"May 17","Dirty Mary, Crazy Larry","","","$28,401,735",""
"June 21","Chinatown","Drama","","$23,169,837",""
"July 1","Death Wish","Action","","$22,000,000",""
"August 30","The Longest Yard","","","$43,008,075",""
"September 19","Amarcord","","","$131,377",""
"October 18","Airport 1975","Thriller/Suspense","","$47,285,152",""
"","The Texas Chainsaw Massacre","Horror","$140,000","$26,572,439",""
"November 15","Benji","Adventure","$500,000","$31,559,560",""
"November 22","Murder on the Orient Express","","","$35,733,867",""
"December 11","The Godfather: Part II","","$13,000,000","$57,300,000",""
"December 15","Young Frankenstein","Comedy","$2,800,000","$86,300,000",""
"December 17","The Front Page","Comedy","$4,000,000","$15,000,000",""
"","Towering Inferno","Action","$14,000,000","$116,000,000",""
"December 20","The Man with the Golden Gun","Action","$7,000,000","$21,000,000",""
"December 31","The Gambler","Drama","","$0",""
"","Godzilla vs. Mechagodzilla","","","$0",""
"","Parade","Comedy","","$0",""
"","Promised Lands","","","$4,546",""
"","The Swinging Cheerleaders","Comedy","","$0",""
"","The Taking of Pelham One Two Three","Thriller/Suspense","","$0",""
"","'Twas the Night Before Christmas","Adventure","","$0",""
