"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","The Andromeda Strain","Thriller/Suspense","$6,500,000","$12,376,563",""
"","The Beguiled","Drama","","$1,100,000",""
"","The Big Doll House","","","$10,000,000",""
"","Big Jake","Western","","$7,500,000",""
"","Billy Jack","","","$98,000,000",""
"","Carnal Knowledge","Drama","","$28,623,000",""
"","Cold Turkey","","","$11,000,000",""
"","Escape from the Planet of the Apes","","$2,500,000","$12,300,000",""
"","Fiddler on the Roof","Musical","$9,000,000","$80,500,000",""
"","Klute","","","$12,512,637",""
"","The Million Dollar Duck","","","$4,000,000",""
"","Murmur of the Heart","","","$1,000,000",""
"","Play Misty for Me","Thriller/Suspense","","$10,600,000",""
"","Souffle au Coeur, Le","","","$1,200,000",""
"","Sweet Sweetback's Baad Asssss Song","","$150,000","$15,200,000",""
"","Willard","","","$14,545,941",""
"April 28","Bananas","Comedy","$2,000,000","$0",""
"April 30","Summer of '42","","","$32,063,634",""
"June 24","McCabe & Mrs. Miller","Western","","$8,200,000",""
"June 28","The Hellstrom Chronicle","Documentary","","$0",""
"June 30","Willy Wonka & the Chocolate Factory","","$3,000,000","$4,000,000",""
"July 2","Shaft","Action","","$12,121,618",""
"August 1","The Omega Man","","","$0",""
"October 7","Bedknobs and Broomsticks","Musical","","$17,871,174",""
"October 8","The Last Picture Show","","","$20,505,085",""
"October 9","The French Connection","Drama","$2,200,000","$41,158,757",""
"December 17","A Clockwork Orange","","","$26,589,355",""
"","Diamonds Are Forever","Action","$7,200,000","$43,800,000",""
"","The Hospital","","","$14,142,409",""
"December 24","Dirty Harry","Action","","$28,153,434",""
"December 31","Blood and Lace","Thriller/Suspense","","$0",""
"","The Christian Licorice Store","Drama","","$0",""
"","Godzilla vs. Hedorah","","","$0",""
"","How to Frame a Fig","Comedy","","$0",""
"","Le Mans","Action","","$0",""
"","Sie tötete in Ekstase","Horror","","$0",""
"","Una lucertola con la pelle di donna","Thriller/Suspense","","$0",""
"","What’s the Matter with Helen?","","","$0",""
