"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","18 Again!","Comedy","","$2,567,099",""
"","Appointment with Death","Thriller/Suspense","","$960,040",""
"","Apprentice to Murder","Thriller/Suspense","","$466,639",""
"","Aria","Comedy","","$1,028,679",""
"","Bulletproof","Action","","$807,947",""
"","Buster","Comedy","","$540,000",""
"","Call Me","Thriller/Suspense","","$251,819",""
"","Clara's Heart","Drama","","$5,194,491",""
"","The Courier","","","$5,000",""
"","Da","","","$604,532",""
"","The Deceivers","","","$346,730",""
"","Dominick and Eugene","","","$3,076,031",""
"","Far North","Drama","","$147,234",""
"","Full Moon in Blue Water","","","$450,726",""
"","Hero and the Terror","Action","","$5,000,000",""
"","The House on Carroll Street","","","$459,824",""
"","Illegally Yours","Comedy","","$259,019",""
"","Judgment in Berlin","","","$229,000",""
"","Light Years","","","$370,698",""
"","Little Nikita","Drama","","$1,733,070",""
"","Madame Sousatzka","","","$3,548,000",""
"","Messenger of Death","","","$3,074,681",""
"","The Amateurs","","","$2,011,497",""
"","Monkey Shines","","","$5,000,000",""
"","The New Adventures of Pippi Longstocking","","","$3,569,939",""
"","Pass the Ammo","","","$169,785",""
"","Permanent Record","","","$1,893,000",""
"","Promised Land","","","$316,199",""
"","Rent-A-Cop","","","$295,000",""
"","Running on Empty","","","$2,835,116",""
"","Spellbinder","","","$1,938,049",""
"","Split Decision","","","$695,822",""
"","Track 29","","","$429,028",""
"","The Wrong Guys","","","$1,152,786",""
"January 15","The Couch Trip","Comedy","","$11,005,304",""
"","For Keeps?","Drama","","$17,000,000",""
"","Return of the Living Dead Part II","Horror","$6,200,000","$9,205,924",""
"January 22","Braddock: Missing in Action III","Action","","$6,000,000",""
"","Five Corners","Drama","","$969,000",""
"","The Telephone","","","$0",""
"January 29","Biggles","Adventure","","$112,132",""
"February 5","The Serpent and the Rainbow","Horror","","$19,595,000",""
"","She's Having a Baby","Comedy","","$16,031,707",""
"","The Unbearable Lightness of Being","","","$10,006,000",""
"February 9","Sister, Sister","","","$743,445",""
"February 12","Action Jackson","Action","$7,000,000","$20,257,000",""
"","Satisfaction","Comedy","","$8,253,123",""
"","School Daze","Drama","$6,000,000","$14,545,844",""
"","Shoot to Kill","Action","","$29,300,000",""
"February 26","Bloodsport","Action","$1,500,000","$11,806,119",""
"","Frantic","Thriller/Suspense","","$17,637,000",""
"","Hairspray","","","$6,671,108",""
"","A Night in the Life of Jimmy Reardon","Drama","","$6,264,058",""
