"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"","Taffin","","","$159,969",""
"March 1","Cop","","","$1,884,315",""
"March 4","Moving","Comedy","","$10,815,378",""
"","Prison","Horror","$4,000,000","$354,704",""
"","Switching Channels","Comedy","","$9,000,000",""
"March 11","Masquerade","Thriller/Suspense","","$15,855,828",""
"","Off Limits","Action","","$7,242,035",""
"","Vice Versa","Comedy","","$13,664,060",""
"March 18","D.O.A.","Thriller/Suspense","","$12,706,478",""
"","The Milagro Beanfield War","Comedy","","$13,825,794",""
"","Police Academy 5: Assignment: Miami Beach","Comedy","","$19,510,000",""
"March 25","Biloxi Blues","Comedy","","$43,184,798",""
"","High Season","Comedy","","$1,125,000",""
"","Johnny Be Good","Comedy","","$17,500,399",""
"","A New Life","Comedy","","$7,721,851",""
"March 30","Beetle Juice","Comedy","$15,000,000","$73,326,666",""
"April 1","Bright Lights, Big City","Drama","$25,000,000","$16,118,077",""
"","The Seventh Sign","Thriller/Suspense","","$18,875,011",""
"","Stand and Deliver","Drama","","$13,994,920",""
"","A Time of Destiny","","","$1,212,487",""
"April 8","Above the Law","Action","","$18,869,631",""
"","Bad Dreams","Horror","","$9,000,000",""
"April 15","Colors","Action","","$46,616,067",""
"","Plain Clothes","Comedy","","$289,000",""
"","Return to Snowy River","Adventure","","$13,687,027",""
"April 22","Casual Sex?","Comedy","","$12,277,096",""
"","Lady in White","Horror","$4,700,000","$1,705,139",""
"","The Unholy","Action","","$6,000,000",""
"April 29","Critters 2: The Main Course","Comedy","","$3,000,000",""
"","Out of Rosenheim","Drama","","$3,587,303",""
"","Sunset","Comedy","","$4,595,000",""
"May 1","Stormy Monday","","","$1,791,328",""
"May 4","Mala Noche","Drama","","$11,352",""
"May 6","Dead Heat","Action","","$3,588,626",""
"","Salsa","Drama","","$8,000,000",""
"","Shakedown","Action","","$10,068,039",""
"May 13","Friday the 13th Part VII: The New Blood","Horror","$2,800,000","$19,170,001",""
"May 20","Willow","Adventure","","$57,269,863",""
"May 25","Crocodile Dundee 2","Adventure","$14,000,000","$109,306,210",""
"","Rambo III","Action","$58,000,000","$53,715,611",""
"May 31","My Best Friend Is a Vampire","Comedy","","$174,380",""
"June 3","Big","Comedy","$18,000,000","$114,968,774",""
"","Funny Farm","Comedy","","$25,537,221",""
"June 10","Big Business","Comedy","","$40,150,487",""
"","Poltergeist III","Horror","$9,500,000","$14,114,000",""
"","The Presidio","Thriller/Suspense","","$20,036,000",""
"","Stars and Bars","Comedy","","$111,987",""
"June 15","Bull Durham","Drama","","$50,888,729",""
"June 17","The Great Outdoors","Comedy","","$41,455,230",""
"","Red Heat","Action","","$34,994,648",""
"","Waxwork","","","$808,114",""
"June 22","Who Framed Roger Rabbit?","Comedy","$70,000,000","$154,112,492",""
"June 29","Coming to America","Comedy","","$128,152,301",""
"July 1","A Handful of Dust","","","$1,560,700",""
"July 6","License to Drive","Comedy","","$22,434,275",""
"","Short Circuit 2","Comedy","","$20,882,000",""
"July 8","Arthur 2: On the Rocks","Comedy","","$14,681,192",""
"","Phantasm II","Horror","$3,000,000","$7,000,000",""
"July 13","The Dead Pool","Action","","$37,903,000",""
"","It Takes Two","","","$344,375",""
"July 15","Die Hard","Action","$28,000,000","$81,350,242",""
"","A Fish Called Wanda","Comedy","","$63,493,000",""
"July 20","Midnight Run","Action","$30,000,000","$38,413,606",""
"July 22","Big Top Pee-Wee","Adventure","","$15,122,324",""
"","Caddyshack II","Comedy","","$11,798,302",""
"July 29","Cocktail","Drama","","$78,222,753",""
"August 5","The Blob","Horror","","$8,247,943",""
"","The Rescue","Action","","$5,855,392",""
"","Vibes","Comedy","","$1,883,811",""
"August 10","Clean and Sober","Drama","","$8,674,093",""
"August 12","The Last Temptation of Christ","Drama","$7,000,000","$8,373,585",""
"","Mac and Me","Adventure","","$6,000,000",""
"","Tucker: The Man and His Dream","Drama","","$19,652,638",""
"","Young Guns","Western","$13,000,000","$44,726,644",""
"August 19","Married to the Mob","Comedy","","$21,486,757",""
"","A Nightmare on Elm Street 4: The Dream Master","Horror","$13,000,000","$49,369,899",""
"August 22","Le grand bleu","Drama","","$3,000,000",""
"August 24","Crossing Delancey","Romantic Comedy","","$16,262,000",""
"August 26","Betrayed","Thriller/Suspense","","$25,816,139",""
"","Hot to Trot","Comedy","","$6,000,000",""
"","Stealing Home","Drama","","$7,467,504",""
"September 1","Eight Men Out","Drama","","$5,680,515",""
"","Miles from Home","","","$188,964",""
"September 2","Rocket Gibraltar","","","$187,349",""
"September 9","Moon Over Parador","Comedy","","$11,444,204",""
"","Some Girls","","","$401,421",""
"September 16","Seven Hours to Judgment","Action","","$177,820",""
"September 23","Dead Ringers","Thriller/Suspense","","$9,134,733",""
"","Gorillas in the Mist","Drama","","$24,720,479",""
"","Kansas","Thriller/Suspense","","$2,000,000",""
"","Sweet Hearts Dance","Drama","","$3,790,493",""
"September 28","Memories of Me","Comedy","","$3,965,000",""
"September 30","Elvira, Mistress of the Dark","Comedy","","$5,000,000",""
"","Heartbreak Hotel","Comedy","","$5,509,417",""
"","Punchline","Comedy","","$21,032,000",""
"October 1","Bird","Drama","","$2,181,286",""
"","Halloween 4: The Return of Michael Myers","Horror","$5,000,000","$17,768,757",""
"","Tapeheads","","","$343,786",""
"","Things Change","","","$3,527,886",""
"October 7","Alien Nation","Drama","","$25,216,243",""
"","Imagine: John Lennon","Documentary","","$3,753,977",""
"October 14","The Accused","Drama","","$32,078,318",""
"","Another Woman","Drama","","$1,562,749",""
"","The Kiss","","","$0",""
"","Night of the Demons","Horror","","$2,847,907",""
"","Pumpkinhead","Horror","","$4,385,516",""
"October 21","Bat*21","Drama","","$3,966,256",""
"","The Lair of the White Worm","","","$1,189,315",""
"","Little Dorrit","","","$1,025,000",""
"","Mystic Pizza","Comedy","$6,000,000","$12,793,213",""
"","Without a Clue","Comedy","","$8,000,000",""
"October 28","Feds","Comedy","","$3,000,000",""
"October 31","Platoon Leader","Drama","","$1,348,771",""
"November 4","Everybody’s All-American","Drama","","$12,638,294",""
"","The Good Mother","Drama","","$4,764,606",""
"","They Live","Thriller/Suspense","$4,000,000","$13,000,000",""
"","U2: Rattle and Hum","Concert/Performance","","$8,600,823",""
"November 9","Child's Play","Horror","$9,000,000","$33,244,684",""
"November 11","A Cry in the Dark","Drama","","$6,908,797",""
"","Ernest Saves Christmas","Comedy","","$28,202,109",""
"","Iron Eagle II","Action","","$10,000,000",""
"","Mujeres al borde de un ataque de nervios","Comedy","","$7,179,000",""
"November 18","1969","Drama","","$5,979,011",""
"","The Chocolate War","Drama","","$303,624",""
"","Fresh Horses","Drama","","$6,640,346",""
"","High Spirits","Comedy","","$8,578,231",""
"","The Land Before Time","Adventure","$12,300,000","$48,092,846",""
"","Last Rites","Thriller/Suspense","","$426,965",""
"","Oliver & Company","Adventure","","$49,576,671",""
"November 23","Cocoon: The Return","Comedy","","$18,924,919",""
"","Hanna's War","Drama","","$139,796",""
"","Scrooged","Comedy","$32,000,000","$59,450,353",""
"December 1","Talk Radio","Drama","$4,000,000","$3,468,572",""
"December 2","The Naked Gun: From the Files of Police Squad!","Comedy","","$78,041,829",""
"","Tequila Sunrise","Thriller/Suspense","","$39,703,427",""
"December 9","Mississippi Burning","Drama","","$34,603,000",""
"","My Stepmother Is an Alien","Comedy","$16,000,000","$13,854,000",""
"","Twins","Comedy","$15,000,000","$111,936,388",""
"December 14","Dirty Rotten Scoundrels","Comedy","","$42,039,000",""
"","I'm Gonna Git You Sucka","Comedy","","$13,030,057",""
"","Torch Song Trilogy","Comedy","","$4,865,997",""
"December 16","Rain Man","Comedy","$25,000,000","$172,825,435",""
"December 20","Working Girl","Comedy","","$63,800,000",""
"December 21","Beaches","Drama","","$57,041,866",""
"","Dangerous Liaisons","Drama","$14,000,000","$34,700,000",""
"","Pelle erobreren","Drama","","$2,053,931",""
"December 23","The Accidental Tourist","Drama","","$32,632,000",""
"","Hellraiser II: Hellbound","Horror","","$11,611,883",""
"December 31","Baja Oklahoma","Drama","","$0",""
"","The Chronicles of Narnia","Drama","","$0",""
"","The Dark Side of the Sun","Drama","","$0",""
"","The Decievers","Drama","","$0",""
"","Freeway","Thriller/Suspense","","$143,000",""
"","The Girl in a Swing","Drama","","$747,013",""
"","Honor Bound","Thriller/Suspense","","$0",""
"","Watchers","Action","","$940,173",""
