"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Actor for Hire","Comedy","","$0",""
"January 2","Li'l Quinquin","Comedy","","$7,192",""
"","[REC] 4: Apocalypse","Horror","","$837",""
"","The Search for General Tso","Documentary","","$41,455",""
"","The Taking of Tiger Mountain","Adventure","","$222,964",""
"","Trace Amounts","Documentary","","$80,735",""
"","The Woman in Black 2: Angel of Death","Horror","","$26,501,323","Play"
"January 5","The Inhabitants","Thriller/Suspense","","$0",""
"January 6","Finders Keepers","Thriller/Suspense","","$0",""
"","Not Another Happy Ending","Romantic Comedy","","$0",""
"","Wheels of Terror","Action","","$0",""
"January 8","Taken 3","Action","$48,000,000","$89,256,424","Play"
"January 9","Black November","Drama","$7,500,000","$0",""
"","Dark Summer","Thriller/Suspense","","$0",""
"","Farewell, Herr Schwartz","Documentary","","$4,455",""
"","Die geliebten Schwestern","Drama","","$54,064",""
"","Let's Kill Ward's Wife","Black Comedy","$5,000,000","$0",""
"","Predestination","Thriller/Suspense","","$0",""
"","Preservation","Horror","","$0",""
"","Tevar","Action","","$236,002",""
"","Vessel","Documentary","$800,000","$0",""
"","The World Made Straight","Drama","","$0",""
"January 10","Open Sesame: The Story of Seeds","Documentary","","$0",""
"January 13","At the Earth's Core","Adventure","","$0",""
"","Capricorn One","Action","$5,000,000","$0",""
"","Da Sweet Blood of Jesus","Romantic Comedy","$1,250,000","$0",""
"","Duane Michals: The Man Who Invented Himself","Documentary","","$0",""
"","Once Upon a Time in Shanghai","Action","","$0",""
"","Racing Hearts","Drama","","$0",""
"","Scorpion King 4: Quest for Power","Action","","$0",""
"January 14","Il capitale umano","Drama","","$158,549",""
"","Faeryville","Drama","","$0",""
"","Match","Comedy","","$30,566",""
"","Salut D’Amour","Comedy","","$0",""
"January 15","Doktor Proktor's prompepulver","Comedy","","$0",""
"","Paper Planes","Comedy","","$0",""
"","Royal Treasure (China)","Comedy","","$0",""
"","Tang ren jie tan an","Action","","$459,832",""
"January 16","Appropriate Behavior","Comedy","","$46,912",""
"","Blackhat","Thriller/Suspense","$70,000,000","$7,889,395","Play"
"","Little Accidents","Drama","","$8,649",""
"","The Phoenix Project","Drama","","$0",""
"","Seventh Son","Adventure","$95,000,000","$17,223,265","Play"
"","Spare Parts","Drama","","$3,618,912","Play"
"","Still Alice","Drama","$5,000,000","$18,656,400","Play"
"","Three Night Stand","Comedy","","$4,076",""
"","Vice","Action","","$0","Play"
"","The Wedding Ringer","Comedy","$23,000,000","$64,460,211","Play"
"January 19","Patterns of Evidence: The Exodus","Documentary","","$0",""
"January 20","All the Wilderness","Drama","","$0",""
"","The Atticus Institute","Horror","","$0",""
"","Gnome Alone","Horror","","$0",""
"","A Little Game","","","$0",""
"","May in the Summer","Comedy","","$0",""
"","The Opposite Sex","Comedy","$3,300,000","$0",""
"","Tyler Perry's Madea's Tough Love","Comedy","","$0",""
"January 21","Ex Machina","Thriller/Suspense","$13,000,000","$25,440,971",""
"","Mortdecai","Comedy","$60,000,000","$7,696,134","Play"
"January 22","All Mistakes Buried","Thriller/Suspense","","$0",""
"","The Boy Next Door","Thriller/Suspense","$4,000,000","$35,423,380","Play"
"January 23","Against the Sun","Drama","","$0",""
"","Americons","Action","","$28,782",""
"","L'armee du salut","Drama","","$3,929",""
"","Baby","Action","","$0",""
"","Big Muddy","Drama","","$881",""
"","Black Sea","Thriller/Suspense","","$1,171,559",""
"","Cake","Drama","","$1,951,776",""
"","Dolly Ki Doli","Comedy","","$0",""
"","The Duke of Burgundy","Drama","","$56,657",""
"","The Humbling","Drama","","$0",""
"","Killers","Action","","$0",""
"","Manny","Documentary","","$0",""
"","Miss Hill: Making Dance Matter","Documentary","","$4,706",""
"","R100","Black Comedy","$5,500,000","$24,956",""
"","Red Army","Documentary","","$694,647","Play"
"","Son of a Gun","Action","","$1,411","Play"
"","Song One","Drama","$6,000,000","$32,251",""
"","Strange Magic","Adventure","","$12,429,583","Play"
"","We'll Never Have Paris","Romantic Comedy","","$0",""
"January 27","Amira & Sam","Romantic Comedy","","$31,848",""
"","Backstreet Boys: Show 'Em What You're Made Of","Documentary","","$0",""
"","Big Driver","Thriller/Suspense","","$0",""
"","Born of War","Action","$5,000,000","$0",""
"","The Devil's Violinist","Drama","","$11,294",""
"","Feed the Gods","Horror","","$0",""
"","Ivan and Ivana","Documentary","","$0",""
"","Justice League: Throne of Atlantis","Action","","$0",""
"","Phasma Ex Machina","","","$0",""
"January 28","The SpongeBob Movie: Sponge Out of Water","Comedy","$74,000,000","$162,994,032","Play"
"January 29","Game of Thrones: The IMAX Experience","Drama","","$1,896,092",""
"","Kingsman: The Secret Service","Action","$94,000,000","$128,261,724","Play"
"January 30","2015 Oscar Shorts","Multiple Genres","","$2,412,493",""
"","Above and Beyond","Documentary","$1,300,000","$288,751",""
"","Alien Outpost","Thriller/Suspense","","$0",""
"","Bande de filles","Drama","","$60,765",""
"","Benpao Ba! Xiongdi","Reality","","$309,297",""
"","Big News From Grand Rock","Comedy","","$0",""
"","Eh Janam Tumhare Lekhe","Drama","","$0",""
"","Guten Tag, Ramon","Drama","$4,000,000","$154,356",""
"","Hawaizaada","Drama","","$0",""
"","Legends from the Sky","Drama","","$0",""
"","The Loft","Thriller/Suspense","","$6,002,684","Play"
"","Project Almanac","Adventure","$12,000,000","$22,348,241","Play"
"","Supremacy","Thriller/Suspense","","$0",""
"","Trudno byt bogom","Drama","$7,000,000","$31,443",""
"","Wild Card","Action","$30,000,000","$3,200",""
"","Xiong Chumo Zhi Xueling Xiongfeng","Comedy","","$0",""
"January 31","Suburban Gothic","Black Comedy","","$0",""
"February 3","Bleeding Hearts","Horror","$1,200,000","$0",""
"","Cher Ami... iy yo!","Adventure","","$0",""
"","Come Together: A Beatles Tribute","Documentary","","$0",""
"","Das Haus der Krokodile","Adventure","","$0",""
"","Home Sweet Hell","Black Comedy","","$0",""
"","Jongens","Drama","","$0",""
"","Love, Rosie","Romantic Comedy","","$20,431",""
"","Meet My Valentine","Drama","","$0",""
"","The New Public","Documentary","","$0",""
"","One Small Hitch","Romantic Comedy","","$7,965",""
"","The Reagan: The Legacy Endures","Documentary","","$0",""
"","Scooby-Doo! Moon Monster Madness","Adventure","","$0",""
"","UnDivided","Documentary","$250,000","$0",""
"","Zombie Killers: Elephant's Graveyard","Horror","","$0",""
"February 4","Papa ou maman","Romantic Comedy","","$0",""
"February 5","The Dead Lands","Action","","$5,240",""
"","Shamitabh","Drama","","$324,597",""
"February 6","3 Nights in the Desert","Drama","","$1,297",""
"","Ballet 422","Documentary","","$333,554",""
"","Boy Meets Girl","Romantic Comedy","","$20,441",""
"","Enter the Dangerous Mind","Thriller/Suspense","$3,000,000","$0",""
"","Jupiter Ascending","Action","$179,000,000","$47,482,519","Play"
"","Lovesick","Comedy","","$0",""
"","Mad As Hell","Documentary","","$0",""
"","Matt Shepard Is a Friend of Mine","Documentary","","$0",""
"","Old Fashioned","Drama","","$1,914,090",""
"","The Other Man: F.W. de Klerk and the End of Apartheid","Documentary","","$1,747",""
"","Outcast","Adventure","","$0",""
"","Pass the Light","Drama","","$0",""
"","Shaun the Sheep","Adventure","$25,000,000","$19,375,982","Play"
"","The Voices","Comedy","","$5,000",""
"February 10","Bound","Drama","","$0",""
"","Fear Clinic","Horror","$1,000,000","$0",""
"","Frankenstein vs The Mummy","Horror","","$0",""
"","LEGO: DC Comics Super Heroes: Justice League vs. Bizarro League","Action","","$0",""
"","Love in the Time of Monsters","Black Comedy","$500,000","$0",""
"","A Mouse Tale","","","$0",""
"","The Rewrite","Romantic Comedy","","$0",""
"","RPG","Adventure","","$0",""
"","White Rabbit","Drama","","$0",""
"","You yi ge di fang zhi you wo men zhi dao","Drama","","$482,013",""
"February 11","Fifty Shades of Grey","Drama","$40,000,000","$166,167,230","Play"
"","Le meraviglie","Drama","","$70,805",""
"February 13","3 coeurs","Drama","","$182,522",""
"","C'est Si Bon","Drama","","$164,167",""
"","Gett: The Trial of Viviane Amsalem","Drama","","$988,150",""
"","Girlhouse","Horror","$1,500,000","$0",""
"","Hits","Comedy","$1,000,000","$15,156",""
"","Journey to Space 3D","Documentary","","$0",""
"","The Last Five Years","Musical","$2,000,000","$147,299",""
"","Roy","Drama","","$0",""
"","Wyrmwood","Action","","$0",""
"February 14","Daughters of Dolma","Documentary","","$0",""
"","National Theatre Live: Treasure Island","Concert/Performance","","$0",""
"February 15","Evil in the Woods","Horror","","$0",""
"February 17","Digging Up the Marrow","Horror","","$0",""
"","Hollywood Chaos","Drama","","$0",""
"","The Most Dangerous Job in the World","","","$0",""
"","Purgatorio: Viaje al corazon de la frontera","Documentary","","$0",""
"","Sanma no aji","Drama","","$0",""
"","Survivor","Action","","$0",""
"February 18","Queen and Country","Drama","","$41,297",""
"","Tracers","Action","","$2,000",""
"","Wolf Warriors","Action","","$0",""
"February 19","Ao men feng yun 2","Comedy","","$0",""
"","Badlapur","Thriller/Suspense","","$409,166",""
"","The Gunman","Thriller/Suspense","$40,000,000","$10,664,749",""
"","Lang Tu Teng","Adventure","","$210,591","Play"
"","Tian jiang xiong shi","Action","$65,000,000","$74,070","Play"
"","Triumph in the Skies","Drama","","$0",""
"February 20","Asterix-Le Domaine des dieux","Adventure","","$1,656,287",""
"","Big in Japan","Comedy","","$0",""
"","The DUFF","Comedy","$8,500,000","$34,030,343","Play"
"","Hot Tub Time Machine 2","Comedy","$14,000,000","$12,314,651","Play"
"","Kung Fu Elliot","Documentary","","$0",""
"","The Last: Naruto the Movie","Action","","$483,795",""
"","McFarland, USA","Drama","$17,000,000","$44,480,275","Play"
"","MSG: The Messenger of God","Action","","$0",""
"February 21","Met Opera: Die Meistersinger von Nurnberg","Concert/Performance","","$0",""
"","Trash","Adventure","$12,000,000","$17,484",""
"February 23","Everly","Action","","$1,800",""
"February 24","Apparitional","Horror","","$0",""
"","Devil May Call","Horror","","$0",""
"","Dragonheart 3: The Sorcerers Curse","Adventure","","$0",""
"","Give Me Shelter","Documentary","$250,000","$0",""
"","Grace","Drama","","$0",""
"","Green Street Hooligans: Underground","Action","$8,000,000","$0",""
"","The Intruders","Thriller/Suspense","","$0",""
"","Irreplaceable","Documentary","$600,000","$0",""
"","My Mistress","Drama","","$0",""
"","Robocroc","","","$0",""
"","Vanish","Action","","$0",""
"","Watership Down","Adventure","","$0",""
"","Zoey to the Max","","","$0",""
"","Zombieworld","Horror","","$0",""
"February 25","Farewell to Hollywood","Documentary","","$8,601",""
"","October Gale","Drama","","$0",""
"","Wild Canaries","Comedy","","$9,795",""
"February 26","Eastern Boys","Drama","","$16,831",""
"","Focus","Romantic Comedy","$65,000,000","$53,862,963","Play"
"","Kaaki Sattai","Action","","$0",""
"","The Lazarus Effect","Horror","$5,000,000","$25,801,570","Play"
"","The Second Best Exotic Marigold Hotel","Comedy","$10,000,000","$33,078,266","Play"
"","Serena","Drama","","$176,391",""
"","Zhong Kui fu mo: Xue yao mo ling","Action","","$165,428",""
"February 27","’71","Thriller/Suspense","","$1,270,847","Play"
"","A La Mala","Romantic Comedy","","$3,629,842","Play"
"","After the Ball","Romantic Comedy","","$161,820",""
"","Ana Maria in Novela Land","Comedy","","$0",""
"","Autrui","","","$37,460",""
"","Bluebird","Drama","","$0",""
"","Butterfly Girl","Documentary","$180,000","$17,503",""
"","Deli Man: The Movie","Documentary","","$502,294",""
"","Ejecta","Drama","","$0",""
"","The Hunting Ground","Documentary","","$405,917",""
"","It Follows","Horror","$2,000,000","$14,674,077",""
"","Maps to the Stars","Black Comedy","","$350,741","Play"
"","My Life Directed by Nicolas Winding Refn","Documentary","","$0",""
"","Out of the Dark","Horror","","$0",""
"","Urok","Drama","","$9,045",""
"February 28","Exhibition on Screen: Girl with the Pearl Earring","Documentary","","$0",""
"","Mr. Kaplan","Comedy","","$0",""
"March 1","That Sugar Film","Documentary","","$3,500",""
"March 3","Ask Me Anything","Thriller/Suspense","$950,000","$0",""
"","Barbie in Princess Power","Adventure","","$0",""
"","The Bridge","Documentary","","$0",""
"","Die drei ??? - Das verfluchte Schloss","Adventure","","$0",""
"","Jillian Michaels: Killer Body","Instructional","","$0",""
"","To Write Love On Her Arms","Drama","$3,400,000","$0",""
"March 4","Chappie","Action","$49,000,000","$31,569,268","Play"
"","Frackman","Documentary","","$0",""
"","Pretend We're Kissing","Romantic Comedy","","$0",""
"March 5","12 Golden Ducks","Comedy","","$0",""
"","Unfinished Business","Comedy","$35,000,000","$10,219,501","Play"
"March 6","Allure","Drama","","$3,130",""
"","Bad Asses On The Bayou","Action","","$0",""
"","Buzzard","Black Comedy","","$14,591",""
"","Cinderella","Drama","$95,000,000","$201,151,353","Play"
"","Faults","Thriller/Suspense","","$0",""
"","Hayride 2","Horror","","$2,571",""
"","An Honest Liar","Documentary","","$180,590",""
"","Kidnapping Mr. Heineken","Drama","","$0",""
"","The Life and Mind of Mark DeFriest","Documentary","","$10,021",""
"","Like Sunday, Like Rain","Drama","","$28,208",""
"","Merchants of Doubt","Documentary","","$192,362","Play"
"","Road Hard","Comedy","$1,500,000","$113,169",""
"","Straight Outta Tompkins","Drama","","$8,022",""
"","A Year in Champagne","Documentary","","$0",""
"March 7","Royal Shakespeare Company Live: Love's Labour's Lost","Concert/Performance","","$0",""
"March 10","Bai Fa Mo Nu Zhuan Zhi Ming Yue Tian Guo","Action","","$0",""
"","Beyond the Surface","Documentary","","$0",""
"","The Cobbler","Comedy","","$0",""
"","The Culling","Thriller/Suspense","","$0",""
"","Despicable Me 2: 3 Mini-Movie Collection","Comedy","","$0",""
"","The Flintstones and the WWE: Stone Age Smackdown","Action","","$0",""
"","Jungle Shuffle","Adventure","$10,000,000","$0",""
