"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Monte Walsh","Western","","$0",""
"","Sometimes a Great Notion","Drama","","$0",""
"January 9","Arguing the World","Documentary","","$47,044",""
"","Firestorm","Action","$19,000,000","$8,123,860",""
"January 12","The Wedding Singer","Romantic Comedy","","$80,245,725",""
"January 13","Sunset Boulevard","Drama","","$0",""
"January 16","Carne trémula","Drama","","$1,535,558",""
"","The Dress","Drama","$2,650,000","$16,556",""
"","Fallen","Thriller/Suspense","","$25,310,938",""
"","Half Baked","Comedy","$8,000,000","$17,394,881",""
"","Hard Rain","Action","$70,000,000","$19,870,567",""
"","Illtown","Drama","","$68,955",""
"","Star Kid","Adventure","","$7,015,240",""
"January 21","Fallen Angels","Drama","","$58,318",""
"January 23","The Gingerbread Man","Thriller/Suspense","","$1,626,593",""
"","Phantoms","Horror","","$5,755,333",""
"","Slappy and the Stinkers","Comedy","","$34,488",""
"","Spice World","Comedy","$25,000,000","$29,342,592",""
"","Swept From The Sea","Drama","","$283,081",""
"January 29","Blue Planet","Documentary","","$0",""
"January 30","Caught Up","Drama","","$6,754,958",""
"","Deceiver","Drama","","$699,062",""
"","Deep Rising","Action","$45,000,000","$11,203,026",""
"","Desperate Measures","Action","","$13,678,274",""
"","Four Days in September","Drama","","$310,724",""
"","Great Expectations","Drama","","$26,333,044",""
"","Killing Time","Action","","$12,154",""
"","Taste of Cherry","Drama","","$311,873",""
"","Zero Effect","Comedy","$5,000,000","$2,080,693",""
"February 6","Blues Brothers 2000","Comedy","","$14,089,198",""
"","The Night Flier","Horror","","$91,549",""
"","The Replacement Killers","Action","$30,000,000","$19,035,741",""
"February 13","Ayn Rand: A Sense of Life","Documentary","","$209,244",""
"","The Borrowers","Comedy","$29,000,000","$22,619,589",""
"","Hurricane Streets","Drama","$500,000","$334,041",""
"","The Only Thrill","","","$15,093",""
"","Post Coitum, Animal Triste","Drama","","$109,596",""
"","Sphere","Horror","$73,000,000","$37,068,294",""
"February 20","Dangerous Beauty","Drama","","$4,553,271",""
"","I Love You … Don't Touch Me!","","$68,000","$33,598",""
"","Love Walked In","","","$5,000",""
"","Mrs. Dalloway","Drama","","$3,263,672",""
"","Palmetto","Thriller/Suspense","","$5,846,660",""
"","Senseless","Comedy","","$13,109,234",""
"February 27","An Alan Smithee Film: Burn Hollywood Burn","Comedy","$10,000,000","$45,779",""
"","Dark City","Thriller/Suspense","$27,000,000","$14,435,076",""
"","Kissing a Fool","Romantic Comedy","","$4,100,505",""
"","Krippendorf's Tribe","Comedy","","$7,571,115",""
"","Kurt and Courtney","","","$441,808",""
"","The Real Blonde","","","$247,745",""
"March 5","Change of Habit","Drama","","$0",""
"March 6","The Big Lebowski","Comedy","$15,000,000","$17,498,804",""
"","El Callejón de los Milagros","Drama","","$0",""
"","Everest","Documentary","","$87,178,599",""
"","Hush","Thriller/Suspense","","$13,587,246",""
"","The Leading Man","Drama","","$5,000",""
"","Love and Death on Long Island","Drama","$4,030,000","$2,542,264",""
"","Men with Guns","Action","","$742,032",""
"","Notes from Underground","Drama","","$5,000",""
"","Twilight","Drama","$20,000,000","$15,055,091",""
"","U.S. Marshals","Thriller/Suspense","","$57,833,603",""
"March 13","Chairman of the Board","Comedy","$7,000,000","$306,715",""
"","The Man in the Iron Mask","Adventure","$35,000,000","$56,968,169",""
"March 20","Fireworks","","","$401,540",""
"","Le Bossu","","","$56,158",""
"","Madadayo","Drama","$11,900,000","$48,856",""
"","Mr. Nice Guy","Action","$6,000,000","$12,716,953",""
"","Niagara Niagara","","","$168,462",""
"","Primary Colors","Comedy","$65,000,000","$39,017,984",""
"","Die Story von Monty Spinnerratz","","","$33,768",""
"","Wide Awake","","","$305,704",""
"","Wild Things","Thriller/Suspense","$20,000,000","$29,795,299",""
"March 25","A Price Above Rubies","Drama","","$1,118,808",""
"March 27","Couloirs du temps: Les visiteurs 2, Les","Comedy","$20,000,000","$146,072",""
"","Karakter","Drama","$4,500,000","$713,413",""
"","Meet the Deedles","Comedy","$24,000,000","$4,356,126",""
"","The Newton Boys","Drama","$27,000,000","$10,341,093",""
"","No Looking Back","","$5,000,000","$143,273",""
"","The Proposition","Drama","","$1,622,381",""
"","Ride","Comedy","","$5,485,295",""
"April 3","Artemisia","Drama","","$377,512",""
"","Barney's Great Adventure","Adventure","$15,000,000","$11,156,471",""
"","The Butcher Boy","Drama","","$1,822,193",""
"","Heaven's Burning","","","$5,000",""
