"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Mr. Smith Goes To Washington","Drama","$1,500,000","$9,000,000",""
"March 29","The Story of Vernon and Irene Castle","","","$1,100,000",""
"August 25","The Wizard of Oz","Musical","$2,777,000","$33,711,566",""
"October 29","Le Quai des brumes","Drama","","$22,542",""
"November 3","Ninotchka","","","$1,200,000",""
"December 15","Gone with the Wind","Drama","$3,900,000","$198,680,470",""
"December 31","The Adventures of Sherlock Holmes","Thriller/Suspense","","$0",""
"","The Cisco Kid and the Lady","Western","","$0",""
"","Come On George!","","","$0",""
"","Hound of the Baskervilles","Drama","","$0",""
"","Mr. Wong in Chinatown","Thriller/Suspense","","$0",""
"","Trouble Brewing","","","$0",""
