"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Thousands Cheer","","","$3,500,000",""
"January 23","Casablanca","Drama","$1,039,000","$10,462,500",""
"February 6","Saludos Amigos","Adventure","","$0",""
"February 13","To The Shores of Tripoli","","","$2,300,000",""
"June 25","Jitterbugs","","","$1,100,000",""
"July 14","For Whom the Bell Tolls","Multiple Genres","","$17,800,000",""
"August 14","This is the Army","Musical","","$19,500,000",""
"November 26","Girl Crazy","Musical","","$3,800,000",""
"December 24","A Guy Named Joe","Drama","$2,627,000","$5,363,000",""
"December 25","The Song of Bernadette","Drama","","$12,500,000",""
"December 31","Bell Bottom George","","","$0",""
"","Get Cracking","","","$0",""
