"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","A Date with Judy","","","$3,700,000",""
"","Key Largo","","","$8,125,000",""
"","On an Island with You","","","$3,200,000",""
"","The Pirate","","$3,700,000","$2,956,000",""
"","Red River","","$3,000,000","$9,012,000",""
"","The Snake Pit","","","$10,000,000",""
"","Sorry, Wrong Number","","","$5,700,000",""
"","Words and Music","","","$3,500,000",""
"","Yellow Sky","","","$5,600,000",""
"April 20","Arch of Triumph","Drama","","$1,400,000",""
"April 24","Vredens Dag","Drama","","$7,642",""
"May 27","Melody Time","","","$0",""
"July 8","Easter Parade","","","$6,800,000",""
"October 20","The Three Musketeers","Action","","$8,000,000",""
"October 22","The Red Shoes","Drama","","$0",""
"December 1","The Adventures of Don Juan","Adventure","","$0",""
"December 31","Conspirator","","","$0",""
"","Julia Misbehaves","","","$0",""
"","Summer Holiday","Romantic Comedy","","$0",""
