"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","For Better or Worse","Comedy","","$41,628",""
"","Pharaoh's Army","","","$50,652",""
"January 12","Bio-Dome","Comedy","","$13,294,762",""
"","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Comedy","","$19,674,813",""
"","Dunston Checks In","Comedy","","$9,419,316",""
"","Eye for an Eye","Drama","$20,000,000","$26,792,700",""
"","Gazon maudit","Comedy","","$888,044",""
"","Lawnmower Man 2: Beyond Cyberspace","Action","","$2,396,302",""
"","Two if by Sea","Romantic Comedy","","$10,493,670",""
"January 19","From Dusk Till Dawn","Horror","$20,000,000","$25,728,961",""
"January 26","Angels and Insects","Drama","","$3,390,811",""
"","Badkonake sefid","Drama","","$888,894",""
"","Bed of Roses","Drama","","$18,972,237",""
"","Big Bully","Comedy","","$2,042,530",""
"","The Journey of August King","","","$5,000",""
"","Once Upon a Time... When We Were Colored","Drama","","$2,291,255",""
"","Screamers","Action","","$5,701,359",""
"February 2","Black Sheep","Comedy","","$32,330,354",""
"","The Juror","Thriller/Suspense","$44,000,000","$22,730,924",""
"","White Squall","Adventure","$38,000,000","$10,229,300",""
"February 9","Antonia","Drama","","$4,047,426",""
"","Beautiful Girls","Comedy","","$10,523,880",""
"","Broken Arrow","Action","$65,000,000","$70,645,997",""
"","A Midwinter's Tale","Comedy","","$288,122",""
"","Pie in the Sky","","","$5,000",""
"","Shopping","","","$5,000",""
"February 14","Nueba Yol","Drama","","$1,229,715",""
"February 16","City Hall","Drama","$40,000,000","$20,278,055",""
"","Happy Gilmore","Comedy","$10,000,000","$38,623,460",""
"","Headless Body in Topless Bar","Black Comedy","","$0",""
"","Mr. Wrong","Romantic Comedy","","$12,805,071",""
"","Muppet Treasure Island","Adventure","","$34,327,391",""
"February 21","Bottle Rocket","Adventure","$5,000,000","$407,488",""
"February 22","Anne Frank Remembered","Documentary","","$606,713",""
"","The Young Poisoner's Handbook","Drama","","$330,466",""
"February 23","Asterix in America","","","$0",""
"","Before and After","Drama","","$8,642,118",""
"","Mary Reilly","Drama","$47,000,000","$5,707,094",""
"","Rumble in the Bronx","Action","$7,500,000","$32,281,907",""
"","Unforgettable","Thriller/Suspense","$18,000,000","$2,483,790",""
"March 1","Bloodsport 2","Action","","$684,351",""
"","Down Periscope","Comedy","","$25,723,977",""
"","The Neon Bible","","","$5,000",""
"","Up Close & Personal","Drama","$60,000,000","$51,045,801",""
"March 5","Tonari no Totoro","","","$0",""
"March 8","The Birdcage","Comedy","","$124,060,553",""
"","Chung hing sam lam","Drama","","$332,003",""
"","Fargo","Thriller/Suspense","$7,000,000","$24,567,751",""
"","La flor de mi secreto","Drama","","$653,723",""
"","Hellraiser IV: Bloodline","Horror","","$9,321,492",""
"","Homeward Bound II:  Lost in San Francisco","Adventure","","$32,709,423",""
"","If Lucy Fell","Romantic Comedy","","$2,410,162",""
"","L'uomo delle stelle","Drama","","$222,613",""
"March 15","The Celluloid Closet","Documentary","","$1,310,167",""
"","Ed","Comedy","","$3,956,785",""
"","Executive Decision","Thriller/Suspense","$55,000,000","$56,679,192",""
"","Tarantella","","","$5,000",""
"","Two Much","Romantic Comedy","","$1,078,555",""
"March 22","Diabolique","Thriller/Suspense","","$17,100,266",""
"","Flirting with Disaster","Comedy","$7,000,000","$14,853,474",""
"","Frisk","","","$5,000",""
"","Girl 6","Comedy","$12,000,000","$4,880,941",""
"","Un indien dans la ville","Comedy","","$1,029,731",""
"","It's My Party","Drama","","$455,101",""
"","Jack & Sarah","Romantic Comedy","","$218,626",""
"","Race the Sun","Drama","","$1,681,685",""
"March 29","All Dogs Go To Heaven 2","Adventure","","$8,556,572",""
"","Carried Away","Drama","","$0",""
"","Denise Calls Up","","","$168,614",""
"","A Family Thing","Drama","","$9,993,012",""
"","Sgt. Bilko","Comedy","$39,000,000","$30,356,589",""
"April 1","Bang","Thriller/Suspense","$10,000","$527",""
"April 3","A Thin Line Between Love & Hate","Romantic Comedy","$8,000,000","$34,873,513",""
"April 5","Cold Fever","","","$337,560",""
"","Faithful","Black Comedy","$13,000,000","$2,104,439",""
"","Kôkaku kidôtai","Action","","$443,579",""
"","The Last Supper","Comedy","","$459,749",""
"","Primal Fear","Thriller/Suspense","","$56,073,633",""
"April 6","Wallace & Gromit","Adventure","","$1,002,002",""
"April 12","Fear","Thriller/Suspense","","$20,694,623",""
"","Getting Away with Murder","Comedy","","$197,322",""
"","James and the Giant Peach","Adventure","","$28,921,264",""
"","Jane Eyre","Drama","","$5,200,601",""
"","Kids in the Hall: Brain Candy","Comedy","","$2,640,536",""
