"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Fantasia 2000 (IMAX)","Musical","$80,000,000","$60,507,228",""
"January 7","Bulandi","Drama","","$203,548",""
"","Life is to Whistle","","","$63,574",""
"","Mela","","","$220,524",""
"","Trans","","","$9,623",""
"January 12","The Life and Times of Hank Greenberg","Documentary","","$1,703,901",""
"","My Dog Skip","Drama","$7,000,000","$34,099,640",""
"","Next Friday","Comedy","$9,500,000","$57,176,582",""
"January 14","Creature","","","$1,108",""
"","Supernova","Action","$60,000,000","$14,218,868",""
"","The Terrorist","","$25,000","$195,043",""
"January 21","The Boondock Saints","Action","$7,000,000","$30,471",""
"","Down to You","Romantic Comedy","$9,000,000","$20,035,310",""
"","Phir Bhi Dil Hain Hindustani","Musical","","$588,606",""
"","The Placebo Effect","","","$1,190",""
"","The Quarry","","","$3,350",""
"","Wirey Spindell","","","$9,838",""
"January 25","Baraka","Documentary","","$0",""
"January 28","The Big Tease","Comedy","$4,000,000","$185,577",""
"","The Cup","Comedy","","$1,067,773",""
"","Eye of the Beholder","Thriller/Suspense","$15,000,000","$16,500,786",""
"","Isn't She Great","Comedy","$36,000,000","$2,954,405",""
"","Kestrel's Eye","","","$37,200",""
"","Restaurant","","","$73,613",""
"","Santitos","","","$378,562",""
"","Stella Does Tricks","","","$2,361",""
"February 1","The Perils of Pauline","Comedy","","$0",""
"February 4","Gendernauts","","","$6,002",""
"","Gun Shy","Comedy","$10,000,000","$1,638,202",""
"","Knockout","","","$167,085",""
"","Pukar","","","$357,422",""
"","Scream 3","Horror","$40,000,000","$89,138,076",""
"February 11","The Beach","Drama","$50,000,000","$39,778,599",""
"","Sex: The Annabel Chong Story","Documentary","","$233,076",""
"","Snow Day","Comedy","$13,000,000","$60,008,303",""
"","The Tigger Movie","Adventure","$20,000,000","$45,542,421",""
"","Trois","Thriller/Suspense","$200,000","$1,161,843",""
"February 15","American Tail: The Treasure of Manhattan Island","Adventure","","$0",""
"February 16","Kadosh","Drama","","$736,812",""
"February 18","Beautiful People","Comedy","","$261,360",""
"","Boiler Room","Drama","$9,000,000","$16,963,963",""
"","Ha Ram","","","$274,675",""
"","Hanging Up","Comedy","$40,000,000","$36,037,909",""
"","Kirikou and the Sorceress","","","$61,070",""
"","Pitch Black","Horror","$23,000,000","$39,235,088",""
"","The Whole Nine Yards","Comedy","$24,000,000","$57,262,492",""
"","Yi Ge Dou Bu Neng Shao","Drama","","$589,114",""
"February 23","Wonder Boys","Comedy","$35,000,000","$19,389,454",""
"February 24","The Waiting Game","","","$19,381",""
"February 25","Brown's Requiem","Thriller/Suspense","","$3,077",""
"","Claire Dolan","Drama","","$9,480",""
"","The Closer You Get","","","$221,898",""
"","Judy Berlin","","","$467,313",""
"","Mifune","Drama","","$585,016",""
"","Not of this World","","","$37,871",""
"","Reindeer Games","Action","$36,000,000","$23,360,779",""
"March 1","3 Strikes","Comedy","$4,000,000","$9,821,335",""
"","The Little Thief","","","$37,280",""
"March 3","Drowning Mona","Comedy","$16,000,000","$15,427,192",""
"","Ghost Dog: Way of the Samurai","Drama","$2,000,000","$3,330,230",""
"","Homo Sapiens 1900","","","$1,257",""
"","Khauff","","","$81,825",""
"","The Next Best Thing","Drama","$25,000,000","$14,983,572",""
"","What Planet Are You From?","Comedy","$50,000,000","$6,291,602",""
"March 10","Condo Painting","","","$5,373",""
"","Deterrence","Thriller/Suspense","$800,000","$144,583",""
"","Dragon and the Hawk","","","$3,498",""
"","God's Army","Drama","$300,000","$2,637,726",""
"","Mission to Mars","Adventure","$90,000,000","$60,874,615",""
"","The Ninth Gate","Thriller/Suspense","$38,000,000","$18,653,746",""
"","Orphans","","","$54,596",""
"","Soft Toilet Seats","","","$880",""
"","X","","","$142,544",""
"March 14","Tom and Jerry's Greatest Chases","","","$0",""
"March 15","Les convoyeurs attendent","Comedy","","$5,518",""
"","Cotton Mary","","","$299,351",""
"March 16","The Lifestyle","","","$85,000",""
"March 17","Babymother","Drama","","$5,115",""
"","Black Tar Heroin: The Dark End of the Street","Documentary","","$6,851",""
"","Le Chal Apne Sang","Drama","","$1,030",""
"","Erin Brockovich","Drama","$50,000,000","$125,548,685",""
"","Final Destination","Horror","$23,000,000","$53,302,314",""
"","Soft Fruit","","","$11,132",""
"","Trash","","","$10,746",""
"","Winter Sleepers","","","$316,431",""
"March 22","Romeo Must Die","Action","$25,000,000","$55,973,336",""
"March 24","100% Arabica","","","$5,428",""
"","Buddy Boy","Thriller/Suspense","","$10,281",""
"","Here on Earth","Drama","$15,000,000","$10,494,147",""
"","Sinbad: Beyond the Veil of Mists","","","$5,000",""
"","Superstar Female Serial Killer","","","$954",""
"","Waking the Dead","","","$327,418",""
"","Whatever it Takes","Romantic Comedy","$15,000,000","$8,735,529",""
"March 29","The Filth and the Fury","Documentary","","$612,192",""
"","Long Night's Journey into Day","","","$45,317",""
"March 31","Beau Travail","Drama","","$270,419",""
"","The Color of Paradise","Drama","","$1,810,145",""
"","High Fidelity","Comedy","$20,000,000","$27,277,055",""
"","Pornographic Affair","","","$181,957",""
"","Price of Glory","Drama","","$3,434,515",""
"","Pups","","","$4,427",""
"","The Road to El Dorado","Adventure","$95,000,000","$50,802,661",""
"","The Skulls","Thriller/Suspense","$15,000,000","$35,007,180",""
"April 5","Black and White","Drama","$10,000,000","$5,241,315",""
"April 7","East-West","Drama","","$2,319,726",""
"","Joe Gould's Secret","Drama","","$642,018",""
"","Me, Myself & I","Romantic Comedy","","$565,193",""
"","Ready to Rumble","Comedy","$24,000,000","$12,372,410",""
"","Return to Me","Romantic Comedy","$24,000,000","$32,662,299",""
"","Rules of Engagement","Thriller/Suspense","$60,000,000","$61,322,858",""
"","Southpaw","","","$26,822",""
"","The Specialists","","","$20,021",""
"","This is not an Exit: The Fictional World of Bret Easton Ellis","","","$869",""
"April 14","28 Days","Comedy","$43,000,000","$37,035,515",""
"","Alien Adventure","Adventure","","$5,017,383",""
"","American Psycho","Black Comedy","$8,000,000","$15,070,285",""
"","East is East","Comedy","$3,000,000","$4,170,647",""
"","Eve","","","$6,381",""
"","Gang","","","$28,915",""
"","The Girl Next Door","Documentary","","$769,472",""
"","Hadh Kar Di Aapne","","","$76,057",""
"","Keeping the Faith","Romantic Comedy","$29,000,000","$37,036,404",""
"","Set Me Free","","","$199,086",""
"","Third World Cop","","","$42,327",""
"","Where the Money Is","Comedy","","$5,658,940",""
"April 19","Coupier","","","$80,247",""
"","La otra conquista","Drama","$3,500,000","$886,410",""
"April 21","Croupier","Drama","","$6,201,143",""
"","Don't Let Me Die on a Sunday","","","$10,471",""
"","The Family Tree","","","$12,466",""
"","From the Edge of the City","","","$31,065",""
"","Gossip","Drama","$14,000,000","$5,108,820",""
"","Knocking on Heaven's Door","","","$3,296",""
"","The Last September","","","$469,974",""
"","Love and Basketball","Drama","$15,000,000","$27,441,122",""
"","Seven Girlfriends","","","$0",""
"","U-571","Action","$62,000,000","$77,086,030",""
"","The Virgin Suicides","Black Comedy","$6,000,000","$4,859,475",""
"April 28","The Big Kahuna","Drama","","$3,150,107",""
"","Bossa Nova","Romantic Comedy","","$1,816,792",""
"","Committed","","","$31,844",""
"","The Flintstones in Viva Rock Vegas","Comedy","$58,000,000","$35,231,365",""
"","Frequency","Drama","$31,000,000","$44,983,704",""
"","The Idiots","","","$7,235",""
"","Time Code","Drama","","$1,057,750",""
"","Where the Heart Is","Drama","$15,000,000","$33,771,174",""
"May 5","Adorenarin doraibu","Comedy","","$77,313",""
"","The Basket","Drama","$1,300,000","$609,042",""
"","Chal Mere Bhai","Romantic Comedy","","$199,227",""
"","Cirque du Soleil - Journey of Man","Musical","","$15,626,076",""
"","Divine Trash","","","$39,842",""
"","Gladiator","Action","$103,000,000","$187,683,805",""
"","Human Traffic","","$3,300,000","$104,257",""
"","I Dreamed of Africa","Drama","$34,000,000","$6,543,194",""
"","Luminarias","Comedy","$1,000,000","$428,535",""
"","Michael Jordan to the MAX","Documentary","$7,000,000","$18,642,318",""
"","The New Eve","","","$2,786",""
"","Up at the Villa","Drama","","$2,933,161",""
"","The Well","","","$9,043",""
"May 12","Battlefield Earth: A Saga of the Year 3000","Action","$80,000,000","$21,471,685",""
"","Center Stage","Drama","$18,000,000","$17,200,925",""
"","Coming Soon","","","$3,742",""
"","The Discreet Charm of the Bourgeoisie","","","$198,809",""
"","Hamlet","Drama","$2,000,000","$1,577,287",""
"","Held Up","Comedy","$8,000,000","$4,714,090",""
"","Screwed","Comedy","$12,000,000","$6,982,680",""
"May 17","Young Doctor Freud","","","$18,618",""
"May 19","Dinosaur","Adventure","$127,500,000","$137,748,063",""
"","Luminous Motion","","","$51,380",""
"","Road Trip","Comedy","$16,000,000","$68,525,609",""
"","Small Time Crooks","Comedy","$18,000,000","$17,266,359",""
"May 24","Mission: Impossible 2","Action","$120,000,000","$215,409,889",""
"May 26","8½ Women","Drama","","$417,517",""
"","Better Living Through Circuitry","Documentary","","$80,739",""
"","Derriere, Le","","","$54,833",""
"","Ground Zero","","","$150",""
"","Hum to Mohabbt Karega","Drama","$2,000,000","$121,807",""
"","Kikujiro","","","$198,238",""
"","Passion of Mind","Drama","","$769,009",""
"","Shanghai Noon","Western","$55,000,000","$56,932,305",""
"","The Trial of Old Drum","","","$1,025",""
"June 2","Big Momma's House","Comedy","$33,000,000","$117,559,438",""
"","Grass","","","$313,039",""
