"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","How to Become a Detective","","","$6,000,000",""
"February 5","Modern Times","Comedy","$1,500,000","$163,245",""
"March 23","The Great Ziegfeld","","","$3,000,000",""
"April 16","Mr. Deeds Goes To Town","","","$2,080,000",""
"June 26","San Francisco","","$1,300,000","$2,868,000",""
"October 20","Charge of the Light Brigade, The","Action","$1,200,000","$0",""
"December 31","Keep Your Seats Please","","","$0",""
