"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Judgment at Nuremberg","","$3,000,000","$10,000,000",""
"","The Misfits","","$4,000,000","$8,200,000",""
"","Pocketful of Miracles","","$2,900,000","$5,000,000",""
"January 25","101 Dalmatians","Comedy","","$153,000,000",""
"February 7","à bout de souffle","Drama","","$67,464",""
"March 16","The Absent Minded Professor","Comedy","","$25,381,407",""
"April 19","Dolce Vita, La","","","$19,500,000",""
"May 5","Return to Peyton Place","","","$9,996,178",""
"June 10","Ascenseur pour l'échafaud","Drama","","$373,597",""
"June 21","The Parent Trap","","","$25,150,385",""
"June 22","The Guns of Navarone","","","$28,900,000",""
"June 28","Fanny","","","$9,996,178",""
"July 13","The Exiles","","","$26,516",""
"August 9","Come September","","","$12,710,696",""
"August 31","Purple Noon","Drama","","$618,090",""
"September 13","Yojimbo","Action","","$0",""
"September 25","The Hustler","","$2,000,000","$7,600,000",""
"October 5","Breakfast at Tiffany's","Drama","","$9,551,904",""
"October 18","West Side Story","Musical","$6,000,000","$43,700,000",""
"October 30","King of Kings","","","$14,483,352",""
"November 9","Flower Drum Song","","","$10,738,117",""
"November 22","Blue Hawaii","Musical","","$10,440,453",""
"December 14","Babes in Toyland","Musical","","$10,218,316",""
"","El Cid","","","$26,600,000",""
"December 20","Lover Come Back","Romantic Comedy","","$16,937,969",""
"December 31","Master of the World","Adventure","","$0",""
