"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","The Agony and the Ecstasy","Drama","","$8,000,000",NA,"1965"
"","How to Murder Your Wife","","","$12,000,000",NA,"1965"
"","The Legend of Blood Mountain","","","$1,200,000",NA,"1965"
"","Mirage","","","$3,000,000",NA,"1965"
"","The Sound of Music","Musical","$8,200,000","$163,214,286",NA,"1965"
"January 16","Our Man Flint","","","$16,000,000",NA,"1965"
"February 15","The Greatest Story Ever Told","Drama","$20,000,000","$15,473,333",NA,"1965"
"March 7","The Train","","$5,800,000","$6,800,000",NA,"1965"
"April 7","Major Dundee","Western","$3,800,000","$14,873",NA,"1965"
"April 14","Girl Happy","","","$3,100,000",NA,"1965"
"June 3","Shenandoah","","","$17,268,889",NA,"1965"
"June 16","Those Magnificent Men In Their Flying...","","","$31,111,111",NA,"1965"
"June 22","What's New, Pussycat","Comedy","","$18,820,000",NA,"1965"
"June 23","The Art of Love","Comedy","","$0",NA,"1965"
"","The Sandpiper","","","$13,691,111",NA,"1965"
"","Von Ryan's Express","","","$17,111,111",NA,"1965"
"June 24","Cat Ballou","Comedy","","$20,666,667",NA,"1965"
"July 1","The Great Race","Comedy","","$25,333,333",NA,"1965"
"","The Sons of Katie Elder","","","$13,333,333",NA,"1965"
"August 6","Faster, Pussycat! Kill! Kill!","Comedy","","$36,122",NA,"1965"
"August 9","Help!","Musical","","$12,066,667",NA,"1965"
"October 15","The Cincinnati Kid","Drama","","$0",NA,"1965"
"November 24","Harum Scarum","Comedy","","$1,500,000",NA,"1965"
"December 2","That Darn Cat!","","","$28,062,222",NA,"1965"
"December 16","The Spy Who Came in from the Cold","","","$7,600,000",NA,"1965"
"December 22","Do Not Disturb","Comedy","","$8,000,000",NA,"1965"
"","Doctor Zhivago","Drama","$11,000,000","$111,721,000",NA,"1965"
"December 29","Thunderball","Action","$9,000,000","$63,600,000",NA,"1965"
"December 31","Invasion of Astro-Monster","","","$0",NA,"1965"
