"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Fantastic Voyage","","","$12,000,000",NA,"1966"
"","The Fortune Cookie","","","$6,000,000",NA,"1966"
"","The Group","","","$6,000,000",NA,"1966"
"","Un homme et une femme","Drama","","$14,000,000",NA,"1966"
"","The Singing Nun","","","$3,700,000",NA,"1966"
"","Walk Don't Run","","","$7,500,000",NA,"1966"
"February 18","The Silencers","","","$16,318,124",NA,"1966"
"February 23","Harper","","$3,500,000","$12,000,000",NA,"1966"
"March 15","Bande à part","Drama","","$182,857",NA,"1966"
"May 25","The Russians Are Coming, the Russians Are Coming","","","$21,693,114",NA,"1966"
"June 15","Paradise, Hawaiian Style","","","$2,500,000",NA,"1966"
"June 21","The Blue Max","","","$16,151,612",NA,"1966"
"June 22","Who's Afraid of Virginia Wolf?","","","$33,736,689",NA,"1966"
"June 29","Lt. Robin Crusoe, U.S.N.","","","$22,565,634",NA,"1966"
"July 16","Torn Curtain","Thriller/Suspense","$3,000,000","$13,000,000",NA,"1966"
"July 20","The Wild Angels","","","$15,541,070",NA,"1966"
"August 24","Alfie","Comedy","","$18,871,300",NA,"1966"
"September 19","Masculine Feminine","Drama","","$200,087",NA,"1966"
"September 28","The Bible","Drama","","$34,900,023",NA,"1966"
"October 10","Hawaii","","$15,000,000","$34,562,222",NA,"1966"
"October 17","Georgy Girl","","","$16,873,162",NA,"1966"
"October 27","It's the Great Pumpkin, Charlie Brown","","","$0",NA,"1966"
"November 2","The Professionals","","","$19,537,346",NA,"1966"
"December 1","Follow Me Boys","","","$16,207,116",NA,"1966"
"December 12","A Man for All Seasons","","$3,900,000","$28,350,000",NA,"1966"
"December 20","The Sand Pebbles","","","$30,017,647",NA,"1966"
"December 21","Grand Prix","","","$20,845,016",NA,"1966"
"December 31","Blow-Up","","","$0",NA,"1966"
"","Godzilla vs. the Sea Monster","","","$0",NA,"1966"
"","How the Grinch Stole Christmas","Adventure","","$0",NA,"1966"
