"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Bobby Deerfield","Drama","","$9,300,000",NA,"1977"
"","Eraserhead","Horror","$100,000","$7,000,000",NA,"1977"
"","The Gauntlet","Action","","$35,400,000",NA,"1977"
"","Kingdom of the Spiders","","$500,000","$17,000,000",NA,"1977"
"","Slap Shot","","","$28,000,000",NA,"1977"
"","Which Way Is Up?","","","$17,000,000",NA,"1977"
"January 21","Freaky Friday","Comedy","","$25,942,000",NA,"1977"
"February 11","In Search of Noah's Ark","","","$55,700,000",NA,"1977"
"March 2","Wizards","","","$9,000,000",NA,"1977"
"March 4","Islands in the Stream","","","$8,000,000",NA,"1977"
"March 11","Airport '77","Thriller/Suspense","","$30,000,000",NA,"1977"
"","Black Sunday","Thriller/Suspense","","$0",NA,"1977"
"","The Many Adventures of Winnie the Pooh","","","$0",NA,"1977"
"April 20","Annie Hall","Comedy","$4,000,000","$38,251,425",NA,"1977"
"May 25","Star Wars Ep. IV: A New Hope","Adventure","$11,000,000","$460,998,007",NA,"1977"
"May 27","Smokey and the Bandit","Comedy","","$126,737,428",NA,"1977"
"June 5","For the Love of Benji","","","$22,257,624",NA,"1977"
"June 8","The Other Side of Midnight","","","$24,652,021",NA,"1977"
"","Thunder & Lightning","","","$6,000,000",NA,"1977"
"June 15","A Bridge Too Far","Action","$26,000,000","$50,800,000",NA,"1977"
"June 17","The Deep","Thriller/Suspense","","$50,681,884",NA,"1977"
"","Exorcist II: The Heretic","Horror","$14,000,000","$25,011,000",NA,"1977"
"June 22","New York, New York","Musical","$14,000,000","$13,800,000",NA,"1977"
"","The Rescuers","Adventure","","$48,775,599",NA,"1977"
"June 24","Herbie Goes to Monte Carlo","","","$28,000,000",NA,"1977"
"","Sorcerer","Adventure","$21,600,000","$12,000,000",NA,"1977"
"June 30","MacArthur","","","$16,320,000",NA,"1977"
"July 13","Orca","","","$14,717,854",NA,"1977"
"","The Spy Who Loved Me","Action","$14,000,000","$46,800,000",NA,"1977"
"August 3","Race for Your Life, Charlie Brown","","","$0",NA,"1977"
"August 5","March or Die","","$7,000,000","$1,000,000",NA,"1977"
"August 10","The Kentucky Fried Movie","Comedy","$600,000","$15,000,000",NA,"1977"
"August 12","Sinbad and the Eye of the Tiger","","","$16,000,000",NA,"1977"
"October 2","Julia","Drama","","$0",NA,"1977"
"October 7","Joseph Andrews","","","$0",NA,"1977"
"","Oh, God!","Comedy","","$51,061,196",NA,"1977"
"October 19","Looking for Mr. Goodbar","Drama","","$16,900,000",NA,"1977"
"October 21","Damnation Alley","","$17,000,000","$0",NA,"1977"
"November 3","Pete’s Dragon","","$10,000,000","$36,000,000",NA,"1977"
"November 11","Semi-Tough","","","$37,187,139",NA,"1977"
"November 16","Close Encounters of the Third Kind","Adventure","$20,000,000","$166,000,000",NA,"1977"
"November 17","Heroes","Drama","","$33,000,000",NA,"1977"
"November 18","The Turning Point","Drama","","$33,600,000",NA,"1977"
"December 16","Saturday Night Fever","Drama","","$139,486,124",NA,"1977"
"December 18","The World's Greatest Lover","","","$21,000,000",NA,"1977"
"December 21","The Goodbye Girl","Romantic Comedy","","$83,700,000",NA,"1977"
"December 23","High Anxiety","","$3,400,000","$31,063,038",NA,"1977"
"December 31","Autostop rosso sangue","Drama","","$0",NA,"1977"
"","The Displaced Person","","","$0",NA,"1977"
"","A Little Night Music","","","$0",NA,"1977"
"","Pumping Iron","Documentary","","$0",NA,"1977"
"","The Shadow of Chikara","Horror","","$0",NA,"1977"
"","Telefon","Action","","$0",NA,"1977"
"","Under Milk Wood","","","$0",NA,"1977"
