"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Airport","Thriller/Suspense","","$100,489,150",NA,"1970"
"","Ann och Eve - de Erotiska","Drama","","$18,000,000",NA,"1970"
"","Beyond the Valley of the Dolls","Comedy","$1,000,000","$9,000,000",NA,"1970"
"","Chisum","Western","","$6,000,000",NA,"1970"
"","Darling Lili","Drama","$22,000,000","$5,000,000",NA,"1970"
"","Erinnerungen an die Zukunft","","","$25,900,000",NA,"1970"
"","Kelly's Heroes","Comedy","","$5,200,000",NA,"1970"
"","Love Story","Drama","","$106,397,186",NA,"1970"
"","M*A*S*H","","$3,500,000","$81,600,000",NA,"1970"
"","The Molly Maguires","Drama","$11,000,000","$2,200,000",NA,"1970"
"","Myra Breckinridge","","","$3,000,000",NA,"1970"
"","The Only Game in Town","","","$1,500,000",NA,"1970"
"","Patton","","$12,000,000","$62,500,000",NA,"1970"
"","Waterloo","","$25,000,000","$0",NA,"1970"
"February 19","Au Hasard Balthazar","Drama","","$39,388",NA,"1970"
"March 11","THX 1138","","","$5,000",NA,"1970"
"March 12","Mouchette","Drama","","$0",NA,"1970"
"March 17","The Boys in the Band","Drama","","$0",NA,"1970"
"March 24","King: A Filmed Record...Montgomery to Memphis","Documentary","","$0",NA,"1970"
"March 26","Woodstock","Documentary","$600,000","$34,505,110",NA,"1970"
"April 10","Multiple Maniacs","Comedy","","$33,036",NA,"1970"
"April 23","A Man Called Horse","Drama","","$0",NA,"1970"
"April 24","The Aristocats","Musical","","$55,675,257",NA,"1970"
"May 13","The Ballad of Cable Hogue","Western","$3,716,946","$3,500,000",NA,"1970"
"May 26","Beneath the Planet of the Apes","","$3,000,000","$17,489,009",NA,"1970"
"June 16","Two Mules for Sister Sara","Action","","$5,050,000",NA,"1970"
"June 24","Catch-22","Comedy","$18,000,000","$24,911,670",NA,"1970"
"July 1","The Boatniks","Comedy","","$18,607,492",NA,"1970"
"July 15","Joe","","","$19,319,254",NA,"1970"
"September 9","L'Enfant sauvage","Drama","","$62,943",NA,"1970"
"September 12","Five Easy Pieces","Drama","","$18,099,091",NA,"1970"
"September 21","Tristana","Drama","","$14,586",NA,"1970"
"September 23","Tora, Tora, Tora","","$25,000,000","$29,548,291",NA,"1970"
"November 3","The Owl and the Pussycat","","","$23,681,338",NA,"1970"
"November 9","Ryan's Daughter","","","$30,846,306",NA,"1970"
"December 14","Little Big Man","","","$31,559,552",NA,"1970"
"December 31","The Ballad of Tam Lin","Horror","","$0",NA,"1970"
"","Cannon For Cordoba","Western","","$0",NA,"1970"
"","End of the Road","","","$0",NA,"1970"
"","Figures in a Landscape","Thriller/Suspense","","$0",NA,"1970"
"","Halls of Anger","","","$0",NA,"1970"
"","The Hawaiians","","","$0",NA,"1970"
"","Hell Boats","","","$0",NA,"1970"
"","Hornet's Nest","","","$0",NA,"1970"
"","I clowns","Documentary","","$0",NA,"1970"
"","Pieces of Dreams","","","$0",NA,"1970"
"","The Revolutionary","","","$0",NA,"1970"
"","Rio Lobo","Western","","$0",NA,"1970"
"","Scream And Scream Again","","","$0",NA,"1970"
"","Scrooge","Musical","","$0",NA,"1970"
"","Start the Revolution Without Me","Comedy","","$0",NA,"1970"
"","WUSA","Drama","","$0",NA,"1970"
