"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 5","Untitled Blumhouse Horror Project","Horror",NA,"$0",NA,"2018"
"January 12","The Commuter","Thriller/Suspense",NA,"$0",NA,"2018"
"","The Maze Runner: The Death Cure","Thriller/Suspense",NA,"$0",NA,"2018"
"","Sherlock Gnomes","Adventure",NA,"$0",NA,"2018"
"","White Boy Rick","Drama",NA,"$0",NA,"2018"
"January 19","Den of Thieves","",NA,"$0",NA,"2018"
"","Horse Soldiers","",NA,"$0",NA,"2018"
"January 26","Extinction","Thriller/Suspense",NA,"$0",NA,"2018"
"","Proud Mary","",NA,"$0",NA,"2018"
"February 9","Fifty Shades Freed","Drama",NA,"$0",NA,"2018"
"","The Predator","Action",NA,"$0",NA,"2018"
"","Smallfoot","",NA,"$0",NA,"2018"
"February 16","Black Panther","Action",NA,"$0",NA,"2018"
"","Game Night","",NA,"$0",NA,"2018"
"February 23","Pacific Rim: Maelstrom","Action",NA,"$0",NA,"2018"
"March 1","How to Train Your Dragon 3","Adventure",NA,"$0",NA,"2018"
"March 2","Deadpool 2","Action",NA,"$0",NA,"2018"
"March 9","Ralph Breaks The Internet: Wreck-It Ralph 2","Adventure",NA,"$0",NA,"2018"
"March 16","Tomb Raider","Action",NA,"$0",NA,"2018"
"","Untitled Entebbe Project","",NA,"$0",NA,"2018"
"","Untitled Greg Berlanti Film","",NA,"$0",NA,"2018"
"March 23","Action Point","",NA,"$0",NA,"2018"
"","Anubis","",NA,"$0",NA,"2018"
"","Peter Rabbit","",NA,"$0",NA,"2018"
"","Robin Hood: Origins","Action",NA,"$0",NA,"2018"
"March 30","God’s Not Dead 3","Drama",NA,"$0",NA,"2018"
"","Ready Player One","Adventure",NA,"$0",NA,"2018"
"April 6","A Wrinkle in Time","Adventure",NA,"$0",NA,"2018"
"April 13","A Quiet Place","",NA,"$0",NA,"2018"
"","Sgt. Stubby: An American Hero","Adventure",NA,"$0",NA,"2018"
"","Untitled Universal Monster Franchise Film","",NA,"$0",NA,"2018"
"April 20","The Pact","Comedy",NA,"$0",NA,"2018"
