"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Desert Winds","","","$0","","1994"
"","For the Moment","","","$121,548","","1994"
"","Golden Gate","","","$395,105","","1994"
"","Kika","Black Comedy","","$2,093,000","","1994"
"","Naked in New York","Romantic Comedy","","$1,038,959","","1994"
"","The New Age","Drama","","$245,217","","1994"
"","Trading Mom","","","$319,123","","1994"
"","A Troll in Central Park","","","$71,368","","1994"
"","An Unforgettable Summer","","","$65,352","","1994"
"January 7","The Air Up There","Comedy","","$20,782,439","","1994"
"","American Cyborg: Steel Warrior","Action","","$447,784","","1994"
"","Cabin Boy","Comedy","","$3,469,493","","1994"
"January 11","From Time to Time","","","$5,000","","1994"
"January 12","House Party 3","Comedy","","$19,194,572","","1994"
"January 14","Body Snatchers","Horror","","$428,868","","1994"
"","Death Wish V: The Face of Death","Action","","$1,711,424","","1994"
"","Iron Will","Drama","","$20,623,071","","1994"
"","Where the Rivers Flow North","Drama","","$595,000","","1994"
"January 21","Intersection","Drama","","$20,643,034","","1994"
"","The November Men","","","$1,601","","1994"
"January 26","Blink","Thriller/Suspense","","$16,668,552","","1994"
"","Trois couleurs: Blanc","Drama","","$1,464,000","","1994"
"January 28","Car 54, Where Are You?","Comedy","","$1,238,080","","1994"
"","Red Rock West","","","$2,502,551","","1994"
"February 1","Naked","Black Comedy","","$1,769,000","","1994"
"February 4","Ace Ventura: Pet Detective","Comedy","$12,000,000","$72,217,396","","1994"
"","Gunmen","","","$3,426,347","","1994"
"","I'll Do Anything","Comedy","","$10,209,111","","1994"
"","My Father the Hero","Comedy","","$25,479,558","","1994"
"","Romeo Is Bleeding","Drama","$10,000,000","$3,275,585","","1994"
"February 11","Blank Check","Comedy","","$30,573,770","","1994"
"","The Getaway","Action","","$15,545,115","","1994"
"","My Girl 2","Comedy","","$16,559,100","","1994"
"February 18","Blue Chips","Drama","","$22,359,041","","1994"
"","On Deadly Ground","Action","$50,000,000","$38,590,458","","1994"
"","Reality Bites","Romantic Comedy","","$20,079,850","","1994"
"February 25","8 Seconds","Drama","","$19,582,455","","1994"
"","Sugar Hill","Drama","$10,000,000","$18,272,447","","1994"
"March 2","Boy's Night Out","Comedy","","$0","","1994"
"March 4","Angie","Comedy","","$9,252,349","","1994"
"","The Chase","Adventure","","$7,836,488","","1994"
"","Greedy","Comedy","","$13,137,484","","1994"
"","Sirens","Comedy","","$7,770,731","","1994"
"March 7","Above Suspicion","Thriller/Suspense","","$0","","1994"
"March 9","Four Weddings and a Funeral","Romantic Comedy","$4,500,000","$52,700,832","","1994"
"","The Ref","Comedy","","$11,325,885","","1994"
"March 11","Guarding Tess","Drama","","$27,023,278","","1994"
"","The Hudsucker Proxy","Comedy","$40,000,000","$2,816,518","","1994"
"","Lightning Jack","Western","","$16,821,273","","1994"
"March 18","Monkey Trouble","Comedy","","$16,344,520","","1994"
"","Naked Gun 33 1/3: The Final Insult","Comedy","$30,000,000","$51,041,856","","1994"
"","The Paper","Comedy","","$36,768,310","","1994"
"March 23","Above the Rim","Drama","","$16,026,469","","1994"
"March 25","D2: The Mighty Ducks","Comedy","","$45,604,206","","1994"
"March 30","Cronos","","","$597,238","","1994"
"","Jimmy Hollywood","Comedy","","$3,670,865","","1994"
"","Major League II","Comedy","","$30,626,182","","1994"
"","Thumbelina","Musical","","$11,373,501","","1994"
"April 1","Bitter Moon","Drama","","$1,862,000","","1994"
"","Clifford","Comedy","","$7,347,669","","1994"
"","The House of the Spirits","Drama","","$6,217,413","","1994"
"April 8","Holy Matrimony","Comedy","","$713,234","","1994"
"","Leprechaun 2","Horror","","$2,217,237","","1994"
"","Threesome","Comedy","","$14,793,701","","1994"
"April 13","Serial Mom","Comedy","$13,000,000","$7,881,335","","1994"
"April 15","Backbeat","Drama","","$2,392,599","","1994"
"","Cops and Robbersons","Comedy","","$11,363,618","","1994"
"","Surviving the Game","Action","","$7,690,013","","1994"
"","White Fang 2: Myth of the White Wolf","Adventure","","$8,752,399","","1994"
"April 22","Bad Girls","Western","","$15,187,851","","1994"
"","Brainscan","Horror","","$4,000,000","","1994"
"","Chasers","Comedy","","$1,596,700","","1994"
"","The Inkwell","Comedy","$8,000,000","$8,864,699","","1994"
"April 25","Gun Glory","Western","","$0","","1994"
"","The Rounders","Western","","$0","","1994"
"April 27","You So Crazy","Concert/Performance","","$10,184,701","","1994"
"April 29","The Favor","Romantic Comedy","","$3,098,590","","1994"
"","No Escape","Action","","$15,339,030","","1994"
"","PCU","Comedy","$9,000,000","$4,333,569","","1994"
"","When a Man Loves a Woman","Drama","","$50,021,959","","1994"
"","With Honors","Drama","","$20,043,254","","1994"
"May 1","Widow's Peak","Drama","","$6,243,722","","1994"
"May 6","3 Ninjas Kick Back","Action","$20,000,000","$11,744,960","","1994"
"","Being Human","Comedy","","$1,461,200","","1994"
"","Clean Slate","Comedy","","$7,352,116","","1994"
"May 11","The Crow","Action","","$50,638,075","","1994"
"May 13","Crooklyn","Comedy","$14,000,000","$13,024,170","","1994"
"","A Million to Juan","Comedy","","$381,457","","1994"
"May 18","Even Cowgirls Get the Blues","Comedy","","$1,649,796","","1994"
"May 20","Maverick","Western","","$101,631,272","","1994"
"May 25","Beverly Hills Cop III","Action","$50,000,000","$42,586,861","","1994"
"","Federal Hill","Drama","","$174,979","","1994"
"","Little Buddha","Drama","","$4,793,587","","1994"
"May 27","The Flintstones","Comedy","$45,000,000","$130,531,208","","1994"
"June 3","The Cowboy Way","Comedy","","$19,731,505","","1994"
"","The Endless Summer 2","Documentary","","$2,155,385","","1994"
"","The Princess and the Goblin","Adventure","","$451,560","","1994"
"","Renaissance Man","Comedy","$40,000,000","$24,172,899","","1994"
"June 10","City Slickers II: The Legend of Curly's Gold","Comedy","","$43,440,947","","1994"
"","Speed","Action","$30,000,000","$121,248,145","","1994"
"June 15","The Lion King","Adventure","$79,300,000","$422,780,140","Play","1994"
"June 17","Getting Even With Dad","Comedy","","$18,195,538","","1994"
"","La Reine Margot","Drama","","$925,820","","1994"
"","Wolf","Thriller/Suspense","$70,000,000","$65,011,757","","1994"
"June 24","Jason and the Argonauts","Drama","","$0","","1994"
"","Wyatt Earp","Western","$63,000,000","$25,052,000","","1994"
"June 29","I Love Trouble","Romantic Comedy","","$30,806,194","","1994"
"","Little Big League","Comedy","","$12,124,754","","1994"
"June 30","Young Bess","Drama","","$0","","1994"
"July 1","Baby's Day Out","Comedy","$50,000,000","$16,581,575","","1994"
"","Blown Away","Action","","$30,133,002","","1994"
"","The Shadow","Action","$40,000,000","$31,835,600","","1994"
"July 6","Forrest Gump","Drama","$55,000,000","$330,151,138","","1994"
"July 7","The White Buffalo","Drama","","$0","","1994"
"July 15","Angels in the Outfield","Comedy","","$50,236,831","","1994"
"","Mi Vida Loca","Drama","","$3,269,420","","1994"
"","Spanking the Monkey","Drama","","$1,359,736","","1994"
"","True Lies","Action","$100,000,000","$146,282,411","","1994"
"July 20","The Client","Drama","$45,000,000","$92,115,211","","1994"
"July 22","Lassie","Drama","","$9,942,954","","1994"
"","North","Comedy","","$6,583,223","","1994"
"July 29","Barcelona","Drama","","$7,224,321","","1994"
"","Black Beauty","Drama","","$4,428,830","","1994"
"","It Could Happen To You","Romantic Comedy","","$37,784,369","","1994"
"","The Mask","Comedy","$18,000,000","$119,920,129","","1994"
"August 1","Dead Beat","","","$5,000","","1994"
"August 3","Clear and Present Danger","Action","$62,000,000","$122,012,656","","1994"
"","Eat Drink Man Woman","Comedy","","$7,294,403","","1994"
"August 5","Airheads","Comedy","","$5,021,868","","1994"
"","The Little Rascals","Comedy","","$51,764,950","","1994"
"August 10","The Adventures of Priscilla, Queen of the Desert","Comedy","","$11,059,000","","1994"
"August 12","Corrina, Corrina","Comedy","","$20,146,496","","1994"
"","In the Army Now","Comedy","","$28,881,266","","1994"
"","The Next Karate Kid","Action","","$8,751,228","","1994"
"August 17","Andre","Adventure","","$16,774,699","","1994"
"August 19","Blankman","Comedy","","$7,395,486","","1994"
"","Color of Night","Thriller/Suspense","","$19,750,470","","1994"
"","Fresh","Drama","","$8,094,616","","1994"
"August 26","Camp Nowhere","Comedy","","$10,442,641","","1994"
"","It's Pat","Comedy","","$60,822","","1994"
"","Natural Born Killers","Black Comedy","","$50,282,766","","1994"
"","Police Academy 7: Mission to Moscow","Comedy","$10,000,000","$126,247","","1994"
"August 31","Chitty Chitty Bang Bang","Musical","","$0","","1994"
"","Killing Zoe","","$1,500,000","$418,953","","1994"
"","Milk Money","Romantic Comedy","","$18,121,466","","1994"
"September 2","A Simple Twist of Fate","Drama","","$3,404,935","","1994"
"September 9","Arizona Dream","Drama","","$106,000","","1994"
"","A Good Man in Africa","Comedy","","$2,308,390","","1994"
"","Trial by Jury","Drama","","$6,971,777","","1994"
"","Wagons East","Western","","$4,358,940","","1994"
"","What Happened Was...","Romantic Comedy","","$324,222","","1994"
"September 11","Rapa Nui","","$20,000,000","$305,070","","1994"
"September 14","Quiz Show","Drama","","$24,787,282","","1994"
"September 16","Blue Sky","Drama","","$3,281,813","","1994"
"","Nostradamus","Drama","","$364,164","","1994"
"","Princess Caraboo","Romantic Comedy","","$2,984,777","","1994"
"","Timecop","Action","$28,000,000","$44,853,581","","1994"
"September 23","Boys Life","Drama","","$253,354","","1994"
"","Le Colonel Chabert","Drama","","$238,158","","1994"
"","Exotica","Drama","$1,500,000","$5,046,118","","1994"
"","The Shawshank Redemption","Drama","$25,000,000","$28,241,469","","1994"
"","Sleep With Me","Romantic Comedy","","$161,410","","1994"
"","Terminal Velocity","Action","","$16,478,900","","1994"
"September 28","Jason's Lyric","Drama","","$20,788,730","","1994"
"September 29","Charley Varrick","Thriller/Suspense","","$0","","1994"
"September 30","Ed Wood","Comedy","$18,000,000","$5,828,466","","1994"
"","The River Wild","Action","$45,000,000","$46,815,000","","1994"
"","The Scout","Comedy","","$2,667,163","","1994"
"October 1","The Browning Version","Drama","","$464,423","","1994"
"October 7","Only You","Romantic Comedy","","$20,042,048","","1994"
"","The Specialist","Action","$45,000,000","$57,362,581","","1994"
"October 14","Exit to Eden","Comedy","","$6,813,570","","1994"
"","Hoop Dreams","Documentary","$700,000","$7,768,371","","1994"
"","I Like It Like That","Drama","","$1,138,499","","1994"
"","Little Giants","Comedy","","$19,306,362","","1994"
"","Wes Craven's New Nightmare","Horror","$8,000,000","$18,090,181","","1994"
"","Pulp Fiction","Drama","$8,000,000","$107,928,762","","1994"
"October 19","Clerks","Comedy","$27,000","$3,073,428","","1994"
"","Vanya on 42nd Street","Drama","","$1,746,000","","1994"
"","Vertical Reality","Documentary","","$1,619,747","","1994"
"October 21","Bullets Over Broadway","Comedy","$20,000,000","$13,383,747","","1994"
"","Love Affair","Drama","","$18,272,894","","1994"
"","The Puppet Masters","Horror","","$8,579,626","","1994"
"","Radioland Murders","Comedy","","$1,299,060","","1994"
"October 26","The Last Seduction","Thriller/Suspense","","$5,751,320","","1994"
"October 28","Drop Squad","Drama","","$348,192","","1994"
"","The Road to Wellville","Comedy","","$6,487,257","","1994"
"","Silent Fall","Drama","","$3,180,000","","1994"
"","Squanto: A Warrior's Tale","Drama","","$3,319,344","","1994"
"","Stargate","Action","$55,000,000","$71,565,669","","1994"
"November 4","Double Dragon","Action","","$2,341,309","","1994"
"","Frankenstein","Horror","$45,000,000","$22,006,296","","1994"
"","The War","Drama","","$16,480,770","","1994"
"November 11","Interview with the Vampire: The Vampire Chronicles","Horror","$50,000,000","$105,264,608","","1994"
"","The Santa Clause","Comedy","$22,000,000","$144,833,357","","1994"
"November 16","Heavenly Creatures","Drama","$5,000,000","$3,046,086","","1994"
"November 18","Léon","Thriller/Suspense","$16,000,000","$19,284,974","","1994"
"","Miracle on 34th Street","Drama","","$17,195,886","","1994"
"","Star Trek: Generations","Adventure","$38,000,000","$75,671,262","","1994"
"","The Swan Princess","Romantic Comedy","","$9,771,658","","1994"
"November 19","Huozhe","Drama","","$1,923,899","","1994"
"November 23","Junior","Comedy","","$36,763,355","","1994"
"","A Low Down Dirty Shame","Action","$10,000,000","$29,317,886","","1994"
"","Mrs. Parker and the Vicious Circle","Drama","","$2,144,667","","1994"
"","The Pagemaster","Adventure","","$12,039,526","","1994"
"","Trois couleurs: Rouge","Drama","","$4,043,000","","1994"
"November 25","Camilla","Adventure","","$250,993","","1994"
"December 2","Cobb","Drama","","$849,490","","1994"
"","Tom & Viv","Drama","","$538,534","","1994"
"","Trapped in Paradise","Comedy","","$6,017,509","","1994"
"December 7","That Forsyth Woman","","","$0","","1994"
"December 9","Disclosure","Drama","$55,000,000","$83,015,089","","1994"
"","Drop Zone","Action","","$28,607,015","","1994"
"","What Ever Happened to Baby Jane?","Thriller/Suspense","","$0","","1994"
"December 14","Nell","Drama","","$33,592,700","","1994"
"December 16","Dumb & Dumber","Comedy","$16,000,000","$127,175,374","","1994"
"","Immortal Beloved","Drama","","$9,743,135","","1994"
"","Speechless","Romantic Comedy","","$20,564,705","","1994"
"December 21","Little Women","Drama","$15,000,000","$50,003,303","","1994"
"","Mixed Nuts","Comedy","","$6,670,176","","1994"
"","Ri¢hie Ri¢h","Comedy","$40,000,000","$38,087,756","","1994"
"December 22","A Man of No Importance","Drama","","$555,716","","1994"
"December 23","Death and the Maiden","Drama","","$3,038,495","","1994"
"","Legends of the Fall","Drama","$30,000,000","$66,502,573","","1994"
"","Nobody's Fool","Drama","","$39,453,238","","1994"
"","Safe Passage","Drama","","$1,607,000","","1994"
"","Street Fighter","Action","$35,000,000","$33,423,000","","1994"
"December 25","I.Q.","Romantic Comedy","","$26,265,119","","1994"
"","The Jungle Book","Adventure","$27,000,000","$44,342,956","","1994"
"","Prêt-à-Porter","Comedy","","$11,300,653","","1994"
"December 28","The Madness of King George","Drama","","$15,122,669","","1994"
"December 31","Against the Wall","","","$0","","1994"
"","Almost Dead","Horror","","$0","","1994"
"","Assault at West Point: The Court-Martial of Johnson Whittaker","","","$0","","1994"
"","Baby Brokers","Drama","","$0","","1994"
"","Crimson Wolf","","","$0","","1994"
"","Dead on Sight","","","$0","","1994"
"","Desperate Remedies","","","$69,695","","1994"
"","Fatherland","Drama","","$0","","1994"
"","The Force","Action","","$0","","1994"
"","Godzilla vs. Space Godzilla","","","$0","","1994"
"","Hail, Caesar","Comedy","","$0","","1994"
