"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 2","Angry Monk: Reflections on Tibet, The","Documentary","","$2,125","","2009"
"January 6","An American Girl: Chrissa Stands Strong","Adventure","","$0","","2009"
"","Behind Enemy Lines: Colombia","Action","","$0","","2009"
"January 8","Lady MacBeth of Mtsensk District","","","$0","","2009"
"January 9","After Dark's Horrorfest III","Horror","","$66,456","","2009"
"","Bride Wars","Comedy","$30,000,000","$58,715,510","","2009"
"","Che, Part 1: The Argentine","Drama","","$1,733,532","","2009"
"","Che, Part 2: Guerrilla","","","$0","","2009"
"","Kaerlighed Pa Film","Drama","","$75,465","","2009"
"","Made in U.S.A.","Drama","","$95,209","","2009"
"","Not Easily Broken","Drama","$5,000,000","$10,572,742","","2009"
"","Stellet licht","Drama","","$60,200","","2009"
"","The Unborn","Horror","$16,000,000","$42,670,410","","2009"
"","Yonkers Joe","Drama","","$8,286","","2009"
"January 13","Balls Out: Gary the Tennis Coach","Comedy","","$0","","2009"
"","Hit and Run","Horror","","$0","","2009"
"","Sno Cone Inc.","","","$0","","2009"
"","Tyler Perry's Marriage Counselor","Concert/Performance","","$0","","2009"
"","Without a Paddle: Nature's Calling","Comedy","","$0","","2009"
"January 16","Ballerina","Documentary","","$114,507","","2009"
"","Chandni Chowk to China","Musical","","$921,738","","2009"
"","Hanami","Drama","","$104,433","","2009"
"","Hotel for Dogs","Comedy","$35,000,000","$73,034,460","","2009"
"","My Bloody Valentine","Horror","$14,000,000","$51,545,952","","2009"
"","Notorious","Drama","$19,000,000","$36,843,682","","2009"
"","Owl and the Sparrow","Drama","","$47,071","","2009"
"","Paul Blart: Mall Cop","Comedy","$26,000,000","$146,336,178","","2009"
"","The Village Barbershop","Drama","","$2,359","","2009"
"January 20","Amusement","Horror","","$0","","2009"
"","Boogeyman 3","","","$0","","2009"
"","Center Stage: Turn It Up","","","$0","","2009"
"","Poison Ivy 4: The Secret Society","Drama","","$0","","2009"
"","Trapped in the 5150","","","$0","","2009"
"","Vacancy 2: The First Cut","","","$0","","2009"
"January 21","Beyond the Epic Run","","","$0","","2009"
"January 23","Donkey Punch","Thriller/Suspense","$750,000","$19,367","","2009"
"","Inkheart","Adventure","$60,000,000","$17,303,424","","2009"
"","Killshot","Thriller/Suspense","","$18,643","","2009"
"","The Lodger","","","$0","","2009"
"","Made in Jamaica","Documentary","","$3,149","","2009"
"","Of Time and the City","Documentary","","$32,677","","2009"
"","Outlander","Adventure","$50,000,000","$166,003","","2009"
"","Perro come perro","","","$80","","2009"
"","Underworld 3: Rise of the Lycans","Action","$35,000,000","$45,802,315","","2009"
"January 26","Matisse / Pacasso - Twin Giants of Modern Art","Documentary","","$0","","2009"
"January 27","The Gene Generation","Action","","$0","","2009"
"","Hulk VS.","","","$0","","2009"
"","Open Season 2","Adventure","","$0","","2009"
"January 28","Blessed is the Match: The Life and Death and Hannah Senesh","Documentary","","$18,654","","2009"
"January 30","Between Love & Goodbye","Drama","","$18,480","","2009"
"","Chocolate","Action","","$14,845","","2009"
"","Crips and Bloods: Made in America","","","$70,219","","2009"
"","Entre les murs","Drama","$3,250,000","$3,766,810","","2009"
"","Koski, Senki","Drama","","$0","","2009"
"","Luck by Chance","Comedy","","$356,019","","2009"
"","Medicine for Melancholy","Drama","","$111,551","","2009"
"","New in Town","Romantic Comedy","$8,000,000","$16,734,283","","2009"
"","Serbis","Drama","","$64,407","","2009"
"","Taken","Thriller/Suspense","$25,000,000","$145,000,989","","2009"
"","The Uninvited","Horror","","$28,596,818","","2009"
"February 2","Brief Encounter","Drama","","$0","","2009"
"February 3","Afro Samurai: Resurrection","","","$0","","2009"
"","Dead Noon","","","$0","","2009"
"","Killer Movie","","","$0","","2009"
"","Private Valentine: Blonde & Dangerous","","","$0","","2009"
"","Rent: Filmed Live on Broadway","","","$0","","2009"
"","Smoke Jumper","","","$0","","2009"
"","Space Buddies","","","$0","","2009"
"February 4","The Objective","Horror","","$95","","2009"
"","Our City Dreams","Documentary","","$34,972","","2009"
"February 6","2009 Oscar Shorts","Multiple Genres","","$644,635","","2009"
"","Absurdistan","Comedy","","$39,683","","2009"
"","Babysitter Wanted","","","$0","","2009"
"","Coraline","Adventure","$60,000,000","$75,286,229","","2009"
"","Dev D","","","$11,917","","2009"
"","Fanboys","Comedy","","$687,609","","2009"
"","He's Just Not That Into You","Romantic Comedy","$40,000,000","$93,953,653","","2009"
"","Incendiary","","","$1,260","","2009"
"","The Pink Panther 2","Comedy","","$35,922,978","","2009"
"","Polytechnique","Drama","","$1,418,304","","2009"
"","Push","Thriller/Suspense","$38,000,000","$31,811,527","","2009"
"February 10","Against the Dark","","","$0","","2009"
"","El Ángel Exterminador","Comedy","","$0","","2009"
"","Desu Noto 2","Thriller/Suspense","","$0","","2009"
"","Fist of the Warrior","","","$0","","2009"
"","Gospel Hill","Drama","","$0","","2009"
"","Way of War","","","$0","","2009"
"February 13","Billo Barber","","","$754,928","","2009"
"","Confessions of a Shopaholic","Romantic Comedy","","$44,277,350","","2009"
"","Delhi 6","","","$879,913","","2009"
"","Eleven Minutes","Documentary","","$7,986","","2009"
"","Friday the 13th","Horror","$17,000,000","$65,002,019","","2009"
"","The International","Thriller/Suspense","$50,000,000","$25,450,527","","2009"
"","Must Read After My Death","Documentary","","$0","","2009"
"","Two Lovers","Drama","$12,000,000","$3,149,034","","2009"
"","Under the Sea 3D","Documentary","","$35,119,250","","2009"
