"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Masha i Medved: novyye druz'ya","Adventure","","$0","","2017"
"","Mister Felicità","Comedy","","$0","","2017"
"January 3","American Beast","","","$0","","2017"
"","Ouija 3: The Charlie Charlie Challenge","Horror","","$0","","2017"
"","Wo Shi Shei","","","$0","","2017"
"January 4","Faut Pas Lui Dire","Comedy","","$0","","2017"
"","The Space Between Us","Drama","","$7,885,294","Play","2017"
"January 5","Arise from Darkness","Horror","","$6,112","","2017"
"","The Bronx Bull","Drama","","$0","","2017"
"January 6","10,000 Miles","Drama","","$0","","2017"
"","À fond","Comedy","","$0","","2017"
"","Accidental Courtesy: Daryl Davis, Race & America","Documentary","","$1,940","","2017"
"","Arsenal","Action","","$0","","2017"
"","Between Us","Drama","","$0","","2017"
"","The Catch","Comedy","","$0","","2017"
"","Contratiempo","Thriller/Suspense","","$0","","2017"
"","Cruzeiro Seixas - As cartas do rei Artur","Documentary","","$0","","2017"
"","Delirio em Las Vedras","Comedy","","$0","","2017"
"","A Different American Dream","Documentary","","$1,172","","2017"
"","Die Dunkle Seite des Mondes","Thriller/Suspense","","$0","","2017"
"","Fallen","Drama","","$0","","2017"
"","Les fausses confidences","Drama","","$0","","2017"
"","German Concentration Camps Factual Survey","Documentary","","$4,468","","2017"
"","Hickey","","","$0","","2017"
"","Khaidi No. 150","Action","","$0","","2017"
"","Lost & Found","Adventure","","$0","","2017"
"","Met Opera: Nabucco","Concert/Performance","","$0","","2017"
"","Mimosas","Drama","","$0","","2017"
"","Retake","Drama","","$0","","2017"
"","RSC Live 2017 The Tempest  (Theatre)","Concert/Performance","","$0","","2017"
"","Sardar Saab","Drama","","$0","","2017"
"","Whisky Galore","Romantic Comedy","","$0","","2017"
"","Zeus","Drama","","$0","","2017"
"January 9","Seven Years-Journalism without Journalist","Documentary","","$0","","2017"
"January 10","An Act of Love","Documentary","","$0","","2017"
"","Apple of my Eye","","","$0","","2017"
"","Confidential Assignment","","","$475,618","","2017"
"","The Night is Young","Romantic Comedy","","$0","","2017"
"","Ostwind","","","$0","","2017"
"","The Summoning","Thriller/Suspense","","$0","","2017"
"January 11","Sleepless","Thriller/Suspense","","$20,783,704","Play","2017"
"January 12","Bastard","Horror","","$0","","2017"
"","Brimstone","Thriller/Suspense","","$0","","2017"
"","The King","Drama","","$0","","2017"
"","Ttureu, ithyeojin Kkumui Gieok","Documentary","","$0","","2017"
"January 13","Amžinai kartu","Drama","","$0","","2017"
"","Attack of the Lederhosen Zombies","","","$0","","2017"
"","Backkom Bear: Agent 008","Adventure","","$0","","2017"
"","Bairavaa","Action","","$0","","2017"
"","The Book of Love","Drama","","$0","","2017"
"","The Bye Bye Man","Thriller/Suspense","$7,400,000","$22,395,806","Play","2017"
"","Claire in Motion","Drama","","$0","","2017"
"","The Crash","Thriller/Suspense","","$0","","2017"
"","Don't Knock Twice","Horror","","$0","","2017"
"","Enas Allos Kosmos","Drama","","$60,298","","2017"
"","Felak","Horror","","$0","","2017"
"","Gautamiputra Satakarni","Drama","","$0","","2017"
"","Go North","Thriller/Suspense","","$0","","2017"
"","Hep Yek 2","Comedy","","$0","","2017"
"","Romeo and Juliet - La Scala 2017 (Ballet)","Concert/Performance","","$0","","2017"
"","Looking For Infinity: El Camino","Documentary","","$0","","2017"
"","Ma","","","$0","","2017"
"","Mostly Sunny","Documentary","","$4,046","","2017"
"","Ok Jaanu","Drama","","$355,922","","2017"
"","Pitchfork","Horror","","$0","","2017"
"","Proyecto Lazaro","Drama","","$0","","2017"
"","Rammstein in Amerika","Concert/Performance","","$0","","2017"
"","Rara","Drama","","$0","","2017"
"","Relève: Histoire d'une création","Documentary","","$5,454","","2017"
"","Sarvann","","","$0","","2017"
"","Saving Banksy","Documentary","","$45,585","","2017"
"","Sherlock: The Final Problem","Thriller/Suspense","","$0","","2017"
"","Stado","Comedy","","$0","","2017"
"","Tenemos La Carne","Horror","","$8,438","","2017"
"","Vince Giordano: There’s a Future in the Past","Documentary","","$12,125","","2017"
"","Voevoda","Drama","","$0","","2017"
"","Všetko alebo nič","Romantic Comedy","","$0","","2017"
"January 14","Boonie Bears: Entangled Worlds","Comedy","","$0","","2017"
"January 16","Turning Mecards W: Resurrection of the Black Mirror","Adventure","","$0","","2017"
"January 17","The Babymooners","","","$0","","2017"
"","Barbie: Video Game Hero","","","$0","","2017"
"","Below the Surface","","","$0","","2017"
"","Roger Corman’s Death Race 2050","","","$0","","2017"
"","Faustrecht der Freiheit","","","$0","","2017"
"","Huntwatch","Documentary","","$0","","2017"
"","Lego Jurassic World: The Indominus Escape","","","$0","","2017"
"","Pet Fooled","Documentary","","$0","","2017"
"","She Beast","","","$0","","2017"
"","Surf’s Up 2: Wavemania","Adventure","","$0","","2017"
"","When Elephants Were Young","Documentary","","$0","","2017"
"January 18","Split","Horror","$5,000,000","$137,415,325","Play","2017"
"January 19","Gekijô-ban — Bishôjo senshi Sêrâ Mûn R","","","$0","","2017"
"","Nevesta","Horror","","$0","","2017"
"","Ray","Drama","","$0","","2017"
"","Storm: Letters van Vuur","Adventure","","$0","","2017"
"","xXx: Return of Xander Cage","Action","$85,000,000","$44,898,413","Play","2017"
"January 20","Bolshoi 2017: The Sleeping Beauty","Concert/Performance","","$0","","2017"
"","Callback","Thriller/Suspense","","$0","","2017"
"","Los del Túnel","Drama","","$0","","2017"
"","Detour","Thriller/Suspense","","$1,788","","2017"
"","Le divan de Staline","Drama","","$0","","2017"
"","A Dog’s Purpose","Drama","$25,000,000","$63,658,165","Play","2017"
"","La Forêt de Quinconces","Comedy","","$0","","2017"
"","Los Ilusionautas","Adventure","","$0","","2017"
"","Kirik Party","Drama","","$0","","2017"
"","Koditta Idangalai Nirappuga","Thriller/Suspense","","$0","","2017"
"","Konwój","Thriller/Suspense","","$0","","2017"
"","Kötü Çocuk","Drama","","$0","","2017"
"","Met Opera 2017: Romeo et Juliette","Concert/Performance","","$0","","2017"
"","Mladi levi: Polnost časa","Documentary","","$0","","2017"
"","My Father, Die","Action","","$4,252","","2017"
"","Olanlar Oldu","Comedy","","$0","","2017"
"","L'Ora Legale","Comedy","","$0","","2017"
"","Panique","Drama","","$33,507","","2017"
"","Pepee: Birlik Zamanı","Adventure","","$0","","2017"
"","A Plastic Ocean","Documentary","","$0","","2017"
"","Rester Vertical","Comedy","","$11,124","","2017"
"","The Resurrection of Gavin Stone","Comedy","","$2,303,792","","2017"
"","Royahaye dame sobh","Documentary","","$2,208","","2017"
"","Sophie and the Rising Sun","Drama","","$29,059","","2017"
"","Strnadovi","Documentary","","$0","","2017"
"","The Sunshine Makers","Documentary","","$10,042","","2017"
"","They Call Us Monsters","Documentary","","$0","","2017"
"","Vince & Kath & James","Drama","","$0","","2017"
"January 21","Shinjuku Suwan II","Action","","$0","","2017"
"January 23","Beyond Redemption","","","$0","","2017"
"","Jaesim","Drama","","$0","","2017"
"January 24","2 Years of Love","Romantic Comedy","","$0","","2017"
"","Flight 313: The Conspiracy","","","$0","","2017"
"","The Hangman: Shepherds and Butchers","","","$0","","2017"
"","The Harrow","","","$0","","2017"
"","Justice League: Dark","Adventure","","$0","","2017"
"","Long Nights Short Mornings","Drama","","$0","","2017"
"","La Noire de","","","$0","","2017"
"January 25","Kaabil","","","$0","","2017"
"","Raees","","","$2,369,469","","2017"
"","Singam 3","","","$0","","2017"
"","Vezir Parmagi","Drama","","$0","","2017"
"","The Village of No Return","Action","","$0","","2017"
"","Wendy","Adventure","","$0","","2017"
"January 26","Get the Girl","Black Comedy","","$0","","2017"
"","Prityazhenie","Drama","","$0","","2017"
"January 27","Ama-San","Documentary","","$0","","2017"
"","Ang Babae Sa Septic Tank 2: #ForeverIsNotEnough","","","$0","","2017"
"","Bei xi mo shou","","","$0","","2017"
"","Buddies in India","","","$292,662","","2017"
"","Cheng feng po lang","Drama","","$469,706","","2017"
"","Emily","Drama","","$3,310","","2017"
"","Gold","Drama","","$7,227,038","Play","2017"
"","Gong fu yu jia","Action","","$362,657","","2017"
"","I Am Michael","Drama","","$0","","2017"
"","The Last Face","Drama","","$0","","2017"
"","Massacre on Aisle 12","Comedy","","$15,163","","2017"
"","Mes Trésors","Comedy","","$0","","2017"
"","Miluji tě modře","Romantic Comedy","","$0","","2017"
"","Mykyta kozhumyaka","Adventure","","$0","","2017"
"","Ron Goossens, Low Budget Stuntman","Comedy","","$0","","2017"
"","T2: Trainspotting","Drama","$18,000,000","$777,507","Play","2017"
"","El Tamaño Sí Importa","Comedy","","$0","","2017"
"","Le voyage de Fanny","Drama","","$0","","2017"
"","Der Wald vor lauter Bäumen","","","$1,410","","2017"
"","The White King","Drama","","$0","","2017"
"","Xi You  Fu Yao Pian","Action","","$870,451","","2017"
"","Zero 3","Thriller/Suspense","","$0","","2017"
"January 28","The Game Changer","Action","","$0","","2017"
"","Heartbeats","Drama","","$0","","2017"
"January 30","Royal Opera 2016/17 Il Trovatore","Concert/Performance","","$0","","2017"
"January 31","Don’t Look Now","","","$0","","2017"
"","Meet the Donors: Does Money Talk?","Documentary","","$0","","2017"
"","Scooby Doo Shaggy’s Showdown","","","$0","","2017"
"","Two Lovers and a Bear","Drama","$6,840,000","$0","","2017"
"February 1","Córki dancingu","","","$85,476","","2017"
"","Jojakdwen doshi","","","$0","","2017"
"February 2","A Cure for Wellness","Thriller/Suspense","","$8,106,986","Play","2017"
"","The Lego Batman Movie","Adventure","$80,000,000","$171,926,563","Play","2017"
"","Smetto Quando Voglio - Masterclass","Comedy","","$0","","2017"
"February 3","American Violence","Thriller/Suspense","","$0","","2017"
"","Anatahan","","","$0","","2017"
"","Bogan","Drama","","$0","","2017"
"","Bolshoi Ballet 2017 Swan Lake","Concert/Performance","","$0","","2017"
"","Chapter & Verse","Drama","","$84,147","","2017"
"","The Comedian","Comedy","","$1,658,706","Play","2017"
"","Dark Night","","","$0","","2017"
"","Eloise","Horror","","$0","","2017"
"","Fırıldak Ailesi","Comedy","","$0","","2017"
"","Grace of Jake","Drama","","$18,767","","2017"
"","Growing up Smith","Comedy","$2,000,000","$35,312","","2017"
"","Hymyilevä mies","Drama","","$0","","2017"
"","I Am Not Your Negro","Documentary","","$6,702,377","","2017"
"","North East: Past Po Ma Zhang Fei","Action","","$0","","2017"
"","Pork Pie","Comedy","","$0","","2017"
"","Rings","Horror","$25,000,000","$27,793,018","Play","2017"
"","Ve Si Sai Gon","","","$11,314","","2017"
"","Wheeler","","","$0","","2017"
"","Youth in Oregon","Drama","","$0","","2017"
"February 5","Oklahoma City","Documentary","","$0","","2017"
"February 7","Akron","","","$0","","2017"
"","Baby, Baby, Baby!","Comedy","","$0","","2017"
"","Barash","","","$0","","2017"
"","Candiland","","","$0","","2017"
"","Cross 2","","","$0","","2017"
"","Dead West","","","$0","","2017"
"","Deadly Virtues: Love.Honor.Obey","","","$0","","2017"
"","Deluge","","","$0","","2017"
"","Elizabeth at 90: A Family Tribute","Documentary","","$0","","2017"
"","Jonathan","","","$0","","2017"
"","Killing Reagan","Drama","","$0","","2017"
"","Like Cotton Twines","","","$0","","2017"
"","Meitantei Conan: Episōdo Wan - Chiisakunatta Meitantei","Adventure","","$0","","2017"
"","A Midsummer’s Hawaiian Dream","","","$0","","2017"
"","Moontrap: Target Earth","","","$0","","2017"
"","Sinbad and the War of the Furies","","","$0","","2017"
"","Stake Land 2","","","$0","","2017"
"February 8","Fifty Shades Darker","Drama","$55,000,000","$114,434,010","Play","2017"
"February 9","John Wick: Chapter Two","Action","$40,000,000","$91,065,921","Play","2017"
"","King of the Belgians","Drama","","$0","","2017"
"February 10","2017 Oscar Shorts","Multiple Genres","","$2,835,355","","2017"
"","The Adventure Club","Adventure","","$0","","2017"
"","Balu Mahi","Drama","","$0","","2017"
"","Bornless Ones","Horror","","$0","","2017"
"","Botticelli: Inferno","Documentary","","$0","","2017"
