"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Boom Town","","$2,000,000","$9,172,000",""
"","The Philadelphia Story","Romantic Comedy","","$3,000,000",""
"","Rebecca","Drama","$1,288,000","$6,000,000",""
"","Road to Singapore","Comedy","","$3,200,000",""
"February 9","Pinocchio","Adventure","","$84,300,000",""
"November 13","Fantasia","Musical","$2,280,000","$83,320,000",""
"December 31","The Door With Seven Locks","","","$0",""
"","The Gay Caballero","Western","","$0",""
"","Let George Do It!","","","$0",""
"","The Shop Around the Corner","Multiple Genres","","$0",""
"","Spare a Copper","","","$0",""
