"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Auntie Mame","Comedy","","$23,300,000",NA,"1958"
"","The Big Country","Western","","$10,000,000",NA,"1958"
"","The Bravados","Western","","$4,400,000",NA,"1958"
"","Gigi","Musical","","$7,300,000",NA,"1958"
"","I Want To Live!","","","$7,000,000",NA,"1958"
"","Indiscreet","","","$8,000,000",NA,"1958"
"","The Inn of the Sixth Hapiness","","","$9,000,000",NA,"1958"
"","Marjorie Morningstar","","","$6,000,000",NA,"1958"
"","Separate Tables","","","$7,400,000",NA,"1958"
"March 19","South Pacific","","","$36,800,000",NA,"1958"
"May 9","Vertigo","Thriller/Suspense","","$3,200,000",NA,"1958"
"May 21","Touch of Evil","","","$2,237,659",NA,"1958"
"September 20","Cat on a Hot Tin Roof","Drama","$3,000,000","$17,570,324",NA,"1958"
