"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Fiesta","","","$3,500,000",""
"","Forever Amber","","","$16,000,000",""
"","Gentleman's Agreement","Drama","$2,000,000","$7,800,000",""
"","The Hucksters","","","$8,800,000",""
"","Mother Wore Tights","","","$10,000,000",""
"","This Time for Keeps","","","$3,600,000",""
"","Vivere in Pace","","","$2,200,000",""
"January 16","Till the Clouds Roll By","","","$6,700,000",""
"April 11","Monsieur Verdoux","Black Comedy","","$64,636",""
"June 13","Welcome Stranger","","","$15,300,000",""
"September 1","The Bachelor and the Bobby-Soxer","Comedy","","$8,750,000",""
"September 27","Fun and Fancy Free","","","$0",""
"December 23","Beauty and the Beast","Musical","","$21,711",""
"December 25","Road to Rio","","","$4,500,000",""
"December 31","Cynthia","","","$0",""
"","Life With Father","","","$0",""
"","State of the Union","Drama","","$0",""
