"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Kings of the Evening","Drama","","$98,926","","2010"
"","Shanghai Red","Thriller/Suspense","","$29,566","","2010"
"January 5","Barbie and the Magic of Pegasus","Action","","$0","","2010"
"","Barbie of Swan Lake","Adventure","","$0","","2010"
"","Care Bears: Hearts at Sea","Adventure","","$0","","2010"
"","Winnie the Pooh: A Valentine","Adventure","","$0","","2010"
"January 6","Nora Inu","","","$15,648","","2010"
"","Sweetgrass","Documentary","","$207,473","","2010"
"January 8","Bitch Slap","Action","","$17,365","","2010"
"","Brutal Beauty: Tales of the Rose City Rollers","Documentary","","$8,927","","2010"
"","Crazy on the Outside","Comedy","","$88,335","","2010"
"","Daybreakers","Horror","$20,000,000","$30,101,577","Play","2010"
"","Dulha Mil Gaya","Comedy","","$67,511","","2010"
"","In Search of Memory","","","$31,052","","2010"
"","Leap Year","Romantic Comedy","$19,000,000","$25,918,920","Play","2010"
"","Waiting for Armageddon","","","$10,501","","2010"
"","Wonderful World","Drama","","$9,309","","2010"
"","Youth in Revolt","Comedy","$18,000,000","$15,285,588","Play","2010"
"January 12","Book of Songs","","","$0","","2010"
"","Breaking Point","Drama","","$0","","2010"
"","By the People: The Election of Barack Obama","Documentary","","$0","","2010"
"","Care Bears: Helping Hearts","Adventure","","$0","","2010"
"","The Moment After","Thriller/Suspense","","$0","","2010"
"","A Music Makers: A Man Called Adam","Documentary","","$0","","2010"
"","Music Makers: Ballad in Blue","Documentary","","$0","","2010"
"","Music Makers: Beyond the Sea","Documentary","","$0","","2010"
"","Music Makers: Buena Vista Social Club","Documentary","","$0","","2010"
"","The Riverman","","","$0","","2010"
"","The Theory of Everything","Drama","","$0","","2010"
"January 15","44 Inch Chest","","","$39,033","","2010"
"","The Book of Eli","Action","$80,000,000","$94,835,059","Play","2010"
"","Chance Pe Dance","","","$168,643","","2010"
"","Fish Tank","","$3,000,000","$374,675","","2010"
"","Glorious Exit","","","$245","","2010"
"","Hausu","Horror","","$210,400","","2010"
"","The Last Station","Drama","$18,000,000","$6,617,867","Play","2010"
"","The Spy Next Door","Comedy","$28,000,000","$24,307,106","Play","2010"
"January 19","Across the Hall","Thriller/Suspense","","$0","","2010"
"","Among Dead Men","","","$0","","2010"
"","Blood Creek","Thriller/Suspense","","$0","","2010"
"","Cranford: Return to Cranford","Drama","","$0","","2010"
"","God Send Me a Man","","","$0","","2010"
"","The Keeper","Action","","$0","","2010"
"","No Greater Love","Drama","","$0","","2010"
"","Smokin Aces 2: Assassins Ball","","","$0","","2010"
"January 21","Biutiful","Drama","$35,000,000","$5,101,237","","2010"
"January 22","Creation","Drama","","$341,323","","2010"
"","Drool","","","$1,403","","2010"
"","Extraordinary Measures","Drama","$31,000,000","$12,482,741","Play","2010"
"","La fille du RER","Drama","$9,000,000","$208,163","","2010"
"","Legion","Thriller/Suspense","$26,000,000","$40,168,080","Play","2010"
"","Misconceptions","Comedy","","$6,892","","2010"
"","Murder in Fashion","Drama","","$3,346","","2010"
"","Los paranoicos","","","$0","","2010"
"","To Save a Life","Drama","$500,000","$3,777,210","Play","2010"
"","The Tooth Fairy","Comedy","$48,000,000","$60,022,256","Play","2010"
"","Veer","","","$527,193","","2010"
"","Watercolors","Drama","","$6,305","","2010"
"January 25","The Barbarian","Drama","","$0","","2010"
"","The Bribe","Thriller/Suspense","","$0","","2010"
"","Death of a Centerfold","Drama","","$0","","2010"
"","Earth II","Thriller/Suspense","","$0","","2010"
"","The Fastest Gun Alive","Western","","$0","","2010"
"","Flying High","Romantic Comedy","","$0","","2010"
"","The Mortal Storm","Drama","","$0","","2010"
"","Penthouse","Drama","","$0","","2010"
"","The Sheepman","Western","","$0","","2010"
"","Whipsaw","Drama","","$0","","2010"
"January 26","B-Girl","","$700,000","$0","","2010"
"","The Donner Party","","","$0","","2010"
"","Fireball","Action","","$0","","2010"
"","Five Dollars a Day","","","$0","","2010"
"","Give Em Hell Malone","","","$0","","2010"
"","Jackie Chan Presents: Wushu","","","$0","","2010"
"","Just Like the Son","","","$0","","2010"
"","Lost City Raiders","","","$0","","2010"
"","Sherlock Holmes","Drama","","$0","","2010"
"","The Weathered Underground","Multiple Genres","","$140,091","","2010"
"","You're a Good Man, Charlie Brown","Musical","","$0","","2010"
"January 28","Between the Lines","Comedy","","$0","","2010"
"January 29","L’affaire Farewell","Thriller/Suspense","","$390,157","","2010"
"","Edge of Darkness","Drama","$60,000,000","$43,313,890","Play","2010"
"","Falling Awake","Drama","","$1,978","","2010"
"","Ishqiya","Black Comedy","","$91,468","","2010"
"","The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary","","$453,650","","2010"
"","North Face","","","$711,421","","2010"
"","Off and Running","","","$18,262","","2010"
"","Preacher's Kid","Drama","","$514,522","","2010"
"","Rann","Drama","","$165,873","","2010"
"","Saint John of Las Vegas","","$2,000,000","$102,645","","2010"
"","Sof Shavua B'Tel Aviv","Drama","","$5,729","","2010"
"","When in Rome","Romantic Comedy","","$32,680,633","Play","2010"
"","Zombies of Mass Destruction","Comedy","$1,000,000","$0","","2010"
"February 1","The Mammoth and Ice Age","Adventure","","$0","","2010"
"February 2","Circle of Eight","Thriller/Suspense","","$0","","2010"
"","Planet Hulk","Action","","$0","","2010"
"","Universal Soldier: Regeneration","Action","","$0","","2010"
"February 3","Ajami","Drama","$1,000,000","$621,859","","2010"
"February 5","Banlieue 13: Ultimatum","","","$36,136","","2010"
"","Barbie as the Princess and the Pauper","Adventure","","$0","","2010"
"","Dear John","Drama","$25,000,000","$80,014,842","Play","2010"
"","Eyes Wide Open","","","$25,846","","2010"
"","From Paris With Love","Thriller/Suspense","$52,000,000","$24,077,427","Play","2010"
"","Frozen","","","$246,177","","2010"
"","Frygtelig Lykkelig","","","$170,943","","2010"
"","The Korean","Action","","$20,279","","2010"
"","The Red Riding Trilogy: 1974","Drama","$9,000,000","$148,826","","2010"
"","The Red Riding Trilogy: 1980","Drama","","$0","","2010"
"","The Red Riding Trilogy: 1983","Drama","","$151,644","","2010"
"","Les sept jours du talion","","","$1,011,919","","2010"
"","Shinjuku Incident","Thriller/Suspense","$15,000,000","$0","","2010"
"February 9","Adrenaline of Love","","","$0","","2010"
"","Best of Penn Says: Religion","Concert/Performance","","$0","","2010"
"","Dangerous Man","Action","","$0","","2010"
"","Dante's Inferno","","","$0","","2010"
"","Emma","","","$0","","2010"
"","Hurricane Season","Drama","","$0","","2010"
"","Maneater","Horror","","$0","","2010"
"","Mickey Mouse Clubhouse: Minnie's Bow-Tique","","","$0","","2010"
"","The Penguins of Madagascar Operation: DVD Premier","","","$0","","2010"
"","Polar Storm","","","$0","","2010"
"","Shoot First and Pray You Live","Western","","$0","","2010"
"","The Stick Up Kids","","","$0","","2010"
"February 10","Triangle","","$12,000,000","$0","","2010"
"February 12","American Radical: The Trials of Norman Finkelstein","","","$15,451","","2010"
"","My Name is Khan","Drama","$8,470,000","$4,046,336","","2010"
"","October Country","Documentary","","$26,185","","2010"
"","Order of Chaos","","","$3,054","","2010"
"","Percy Jackson & the Olympians: The Lightning Thief","Adventure","$95,000,000","$88,768,303","","2010"
"","Valentine's Day","Romantic Comedy","$52,000,000","$110,485,654","Play","2010"
"","Videocracy","","","$32,790","","2010"
"","The Wolfman","Horror","$150,000,000","$62,189,884","","2010"
"February 16","Cabin Fever 2: Spring Fever","","","$0","","2010"
"","Care Bears: Adventures in Care-a-lot","Adventure","","$0","","2010"
"","Care Bears: Cheer, There & Everywhere","Adventure","","$0","","2010"
"","Care Bears: Festival of Fun","Action","","$0","","2010"
"","Freeway Killer","","","$0","","2010"
"","Halo Legends","Action","","$0","","2010"
"","The Ladykillers","Comedy","","$0","","2010"
"","The Littlest Angel's Easter","Adventure","","$0","","2010"
"","Scooby Doo: Abracadabra-Doo","Adventure","","$0","","2010"
"","Shark City","","","$0","","2010"
"February 17","Lourdes","Drama","","$9,408","","2010"
"February 19","2010 Oscar Shorts","Multiple Genres","","$1,018,169","","2010"
"","Blood Done Sign My Name","Drama","$10,000,000","$109,383","","2010"
"","Defendor","Drama","$3,750,000","$44,462","","2010"
"","Dreamkiller","Thriller/Suspense","","$15,318","","2010"
"","The Ghost Writer","Thriller/Suspense","$45,000,000","$15,541,549","","2010"
"","The Good Guy","Romantic Comedy","$10,000,000","$100,688","","2010"
"","Happy Tears","Drama","","$22,464","","2010"
"","The Last New Yorker","Drama","","$6,607","","2010"
"","Le Petit Nicolas","Comedy","$30,000,000","$201,857","","2010"
"","Phyllis and Harold","Documentary","","$5,992","","2010"
"","Shutter Island","Thriller/Suspense","$80,000,000","$128,012,934","Play","2010"
"February 23","Justice League: Crisis on Two Earths","Action","","$0","","2010"
"","LeapFrog: Math Adventure to the Moon","Educational","","$0","","2010"
"","LEGO: The Adventures of Clutch Powers","Adventure","","$0","","2010"
"","Open Graves","Horror","","$0","","2010"
"","The Wiggles: Hot Poppin' Popcorn","Musical","","$0","","2010"
"","Wrong Side of Town","Action","","$0","","2010"
"February 24","Babe","Drama","","$0","","2010"
"","Deadly Game","Thriller/Suspense","","$0","","2010"
"","I Dood It","Musical","","$0","","2010"
"","The Last Gangster","Drama","","$0","","2010"
"","Mail Order Bride","Western","","$0","","2010"
"","Then Came Bronson","Drama","","$0","","2010"
"February 26","45365","Documentary","","$1,909","","2010"
"","The Art of the Steal","Documentary","","$544,890","","2010"
"","Cop Out","Comedy","$37,000,000","$44,875,481","Play","2010"
"","The Crazies","Horror","$19,000,000","$39,123,589","Play","2010"
"","Le dernier fugue","","","$40,249","","2010"
"","Formosa Betrayed","","","$225,341","","2010"
"","Karthik Calling Karthik","","","$286,409","","2010"
"","Oscar et la dame Rose","","","$41,803","","2010"
"","Prodigal Sons","","","$73,544","","2010"
"","Un Prophète","Drama","$13,000,000","$2,087,720","","2010"
"","Teen Patti","","","$63,151","","2010"
"","Toe to Toe","","","$21,648","","2010"
"","The Yellow Handkerchief","Drama","$15,500,000","$318,623","","2010"
"March 1","Dead Man Running","","","$0","","2010"
"March 2","Alice","Adventure","","$0","","2010"
"","Alice in Wonderland","Adventure","","$0","","2010"
"","Castle in the Sky","Adventure","","$0","","2010"
"","Curious George 2: Follow That Monkey","Adventure","","$0","","2010"
"","Elvis","Drama","","$0","","2010"
"","Esther","Drama","","$0","","2010"
"","Jesus","Drama","","$0","","2010"
"","Jillian Michaels: Yoga Meltdown","Instructional","","$0","","2010"
"","Kiki's Delivery Service","Adventure","","$0","","2010"
"","The Penthouse","","","$0","","2010"
"","Strawberry Shortcake: The Berryfest Princess Movie","","","$0","","2010"
"","Wrath, The","Thriller/Suspense","","$0","","2010"
"March 3","Harlan: In the Shadow of Jew Suss","","","$54,305","","2010"
"March 5","Alice in Wonderland","Adventure","$200,000,000","$334,191,110","Play","2010"
"","Atithi Tum Kab Jaoge?","Comedy","","$235,847","","2010"
"","Brooklyn's Finest","Thriller/Suspense","$17,000,000","$27,163,593","Play","2010"
"","The Secret of Kells","Adventure","$8,000,000","$690,290","","2010"
"","Tirez sur la pianiste","Thriller/Suspense","","$51,990","","2010"
"March 9","Barbie in a Mermaid Tale","","","$0","","2010"
"","The Brothers Warner","Documentary","","$0","","2010"
"","Hachiko: A Dog's Story","Drama","$16,000,000","$0","","2010"
