"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Anchors Aweigh","Musical","","$4,600,000",NA,"1945"
"","The Dolly Sisters","","","$10,000,000",NA,"1945"
"","The Lost Weekend","","$1,250,000","$11,000,000",NA,"1945"
"","State Fair","","","$10,000,000",NA,"1945"
"","Thrill of a Romance","","","$4,400,000",NA,"1945"
"","A Tree Grows in Brooklyn","","","$9,000,000",NA,"1945"
"","The Valley of Decision","","$2,160,000","$9,132,000",NA,"1945"
"January 3","Mom and Dad","","","$16,000,000",NA,"1945"
"February 3","The Three Caballeros","","","$0",NA,"1945"
"March 2","Dillinger","","","$4,000,000",NA,"1945"
"May 25","The Clock","","","$2,800,000",NA,"1945"
"October 31","Spellbound","Thriller/Suspense","$1,500,000","$7,000,000",NA,"1945"
"December 7","The Bells of St. Mary's","Drama","","$21,300,000",NA,"1945"
"December 20","Leave Her to Heaven","","","$13,800,000",NA,"1945"
"December 31","He Snoops to Conquer","","","$0",NA,"1945"
"","I Didn't Do It!","","","$0",NA,"1945"
"","They Were Expendable","Drama","","$0",NA,"1945"
