"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Across 110th Street","Thriller/Suspense","","$10,000,000",NA,"1972"
"","Conquest of the Planet of the Apes","","$1,700,000","$9,700,000",NA,"1972"
"","The Cowboys","","","$7,500,000",NA,"1972"
"","Joe Kidd","Western","","$6,330,000",NA,"1972"
"","Shaft's Big Score","","","$10,000,000",NA,"1972"
"February 12","Cabaret","Musical","","$41,326,446",NA,"1972"
"March 10","What's Up, Doc?","Comedy","","$57,142,740",NA,"1972"
"March 15","The Godfather","Drama","$7,000,000","$134,966,411",NA,"1972"
"May 12","Jeremiah Johnson","","","$44,693,786",NA,"1972"
"June 21","Frenzy","Thriller/Suspense","$3,500,000","$12,600,000",NA,"1972"
"June 30","Deep Throat","","$25,000","$45,000,000",NA,"1972"
"July 12","La Samourï","Thriller/Suspense","","$39,481",NA,"1972"
"July 21","Deliverance","Thriller/Suspense","","$46,122,355",NA,"1972"
"August 11","Everything You Always Wanted to Know","Comedy","$2,000,000","$18,016,290",NA,"1972"
"August 18","Sounder","","","$16,889,761",NA,"1972"
"August 30","The Last House on the Left","","$87,000","$3,100,000",NA,"1972"
"October 14","Last Tango in Paris","","","$36,144,824",NA,"1972"
"October 20","Lady Sings the Blues","","","$19,726,490",NA,"1972"
"October 27","The Valachi Papers","","","$17,106,087",NA,"1972"
"November 9","1776","Musical","$4,000,000","$0",NA,"1972"
"December 13","The Poseidon Adventure","","","$93,300,000",NA,"1972"
"December 15","The Getaway","Action","","$36,734,619",NA,"1972"
"","The Life and Times of Judge Roy Bean","","","$16,530,578",NA,"1972"
"","Pete 'n' Tillie","","","$14,999,969",NA,"1972"
"December 31","Godzilla vs. Gigan","","","$0",NA,"1972"
"","Die Sister, Die!","Thriller/Suspense","","$0",NA,"1972"
"","Hammersmith Is Out","","","$0",NA,"1972"
"","Hickey & Boggs","Thriller/Suspense","","$0",NA,"1972"
"","King Lear","","","$0",NA,"1972"
"","Together for Days","Drama","","$0",NA,"1972"
"","Whoever Slew Auntie Roo?","Horror","","$0",NA,"1972"
