"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 6","BloodRayne","Action","$25,000,000","$2,405,420",""
"","Fateless","Drama","$12,000,000","$196,857",""
"","Grandma's Boy","Comedy","$5,000,000","$6,090,172",""
"","Hostel","Horror","$4,800,000","$47,326,473",""
"","Kill the Poor","","","$0",""
"January 13","April's Shower","Romantic Comedy","","$16,255",""
"","Film Geek","Comedy","","$17,341",""
"","Glory Road","Drama","$30,000,000","$42,647,449",""
"","Henri Cartier-Bresson - Biographie eines Blicks","Documentary","","$25,347",""
"","Last Holiday","Comedy","$45,000,000","$38,399,961",""
"","Quand la mer monte...","Romantic Comedy","","$24,038",""
"","That Man: Peter Berlin","","","$55,398",""
"","Tristan & Isolde","Drama","","$14,734,633",""
"January 20","Dirty","","","$271,078",""
"","End of the Spear","Drama","$10,000,000","$11,748,661",""
"","Looking for Comedy in the Muslim World","Comedy","","$887,416",""
"","Pizza","","","$4,059",""
"","The Real Dirt on Farmer John","","","$34,298",""
"","Underworld: Evolution","Action","$45,000,000","$62,318,875",""
"","Why We Fight","Documentary","","$1,880,863",""
"","Zinda","","","$332,491",""
"January 27","Annapolis","Drama","","$17,127,992",""
"","Big Momma's House 2","Comedy","$40,000,000","$70,165,972",""
"","Bubble","Drama","$1,600,000","$145,382",""
"","Imagine Me & You","Romantic Comedy","$7,900,000","$672,243",""
"","Live Freaky! Die Freaky!","","","$11,290",""
"","Manderlay","Drama","$14,200,000","$74,205",""
"","Nanny McPhee","Comedy","$25,000,000","$47,279,279",""
"","La Petite Jérusalem","Drama","","$53,580",""
"","Rang De Basanti","Drama","$5,300,000","$2,197,694",""
"","Roving Mars","Documentary","","$10,407,978",""
"","Tristram Shandy: A Cock and Bull Story","Comedy","$4,750,000","$1,253,413",""
"January 30","The Chatterley Affair","Drama","","$0",""
"","The Mayflower","Drama","","$0",""
"February 3","Blossoms of Fire","Documentary","","$2,390",""
"","FAQs","","","$1,407",""
"","A Good Woman","Drama","","$223,144",""
"","Something New","Drama","","$11,468,568",""
"","Suits on the Loose","Comedy","","$79,470",""
