"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Monte Walsh","Western","","$0",NA,"1998"
"","Sometimes a Great Notion","Drama","","$0",NA,"1998"
"January 9","Arguing the World","Documentary","","$47,044",NA,"1998"
"","Firestorm","Action","$19,000,000","$8,123,860",NA,"1998"
"January 12","The Wedding Singer","Romantic Comedy","","$80,245,725",NA,"1998"
"January 13","Sunset Boulevard","Drama","","$0",NA,"1998"
"January 16","Carne trémula","Drama","","$1,535,558",NA,"1998"
"","The Dress","Drama","$2,650,000","$16,556",NA,"1998"
"","Fallen","Thriller/Suspense","","$25,310,938",NA,"1998"
"","Half Baked","Comedy","$8,000,000","$17,394,881",NA,"1998"
"","Hard Rain","Action","$70,000,000","$19,870,567",NA,"1998"
"","Illtown","Drama","","$68,955",NA,"1998"
"","Star Kid","Adventure","","$7,015,240",NA,"1998"
"January 21","Fallen Angels","Drama","","$58,318",NA,"1998"
"January 23","The Gingerbread Man","Thriller/Suspense","","$1,626,593",NA,"1998"
"","Phantoms","Horror","","$5,755,333",NA,"1998"
"","Slappy and the Stinkers","Comedy","","$34,488",NA,"1998"
"","Spice World","Comedy","$25,000,000","$29,342,592",NA,"1998"
"","Swept From The Sea","Drama","","$283,081",NA,"1998"
"January 29","Blue Planet","Documentary","","$0",NA,"1998"
"January 30","Caught Up","Drama","","$6,754,958",NA,"1998"
"","Deceiver","Drama","","$699,062",NA,"1998"
"","Deep Rising","Action","$45,000,000","$11,203,026",NA,"1998"
"","Desperate Measures","Action","","$13,678,274",NA,"1998"
"","Four Days in September","Drama","","$310,724",NA,"1998"
"","Great Expectations","Drama","","$26,333,044",NA,"1998"
"","Killing Time","Action","","$12,154",NA,"1998"
"","Taste of Cherry","Drama","","$311,873",NA,"1998"
"","Zero Effect","Comedy","$5,000,000","$2,080,693",NA,"1998"
"February 6","Blues Brothers 2000","Comedy","","$14,089,198",NA,"1998"
"","The Night Flier","Horror","","$91,549",NA,"1998"
"","The Replacement Killers","Action","$30,000,000","$19,035,741",NA,"1998"
"February 13","Ayn Rand: A Sense of Life","Documentary","","$209,244",NA,"1998"
"","The Borrowers","Comedy","$29,000,000","$22,619,589",NA,"1998"
"","Hurricane Streets","Drama","$500,000","$334,041",NA,"1998"
"","The Only Thrill","","","$15,093",NA,"1998"
"","Post Coitum, Animal Triste","Drama","","$109,596",NA,"1998"
"","Sphere","Horror","$73,000,000","$37,068,294",NA,"1998"
"February 20","Dangerous Beauty","Drama","","$4,553,271",NA,"1998"
"","I Love You … Don't Touch Me!","","$68,000","$33,598",NA,"1998"
"","Love Walked In","","","$5,000",NA,"1998"
"","Mrs. Dalloway","Drama","","$3,263,672",NA,"1998"
"","Palmetto","Thriller/Suspense","","$5,846,660",NA,"1998"
"","Senseless","Comedy","","$13,109,234",NA,"1998"
"February 27","An Alan Smithee Film: Burn Hollywood Burn","Comedy","$10,000,000","$45,779",NA,"1998"
"","Dark City","Thriller/Suspense","$27,000,000","$14,435,076",NA,"1998"
"","Kissing a Fool","Romantic Comedy","","$4,100,505",NA,"1998"
"","Krippendorf's Tribe","Comedy","","$7,571,115",NA,"1998"
"","Kurt and Courtney","","","$441,808",NA,"1998"
"","The Real Blonde","","","$247,745",NA,"1998"
"March 5","Change of Habit","Drama","","$0",NA,"1998"
"March 6","The Big Lebowski","Comedy","$15,000,000","$17,498,804",NA,"1998"
"","El Callejón de los Milagros","Drama","","$0",NA,"1998"
"","Everest","Documentary","","$87,178,599",NA,"1998"
"","Hush","Thriller/Suspense","","$13,587,246",NA,"1998"
"","The Leading Man","Drama","","$5,000",NA,"1998"
"","Love and Death on Long Island","Drama","$4,030,000","$2,542,264",NA,"1998"
"","Men with Guns","Action","","$742,032",NA,"1998"
"","Notes from Underground","Drama","","$5,000",NA,"1998"
"","Twilight","Drama","$20,000,000","$15,055,091",NA,"1998"
"","U.S. Marshals","Thriller/Suspense","","$57,833,603",NA,"1998"
"March 13","Chairman of the Board","Comedy","$7,000,000","$306,715",NA,"1998"
"","The Man in the Iron Mask","Adventure","$35,000,000","$56,968,169",NA,"1998"
"March 20","Fireworks","","","$401,540",NA,"1998"
"","Le Bossu","","","$56,158",NA,"1998"
"","Madadayo","Drama","$11,900,000","$48,856",NA,"1998"
"","Mr. Nice Guy","Action","$6,000,000","$12,716,953",NA,"1998"
"","Niagara Niagara","","","$168,462",NA,"1998"
"","Primary Colors","Comedy","$65,000,000","$39,017,984",NA,"1998"
"","Die Story von Monty Spinnerratz","","","$33,768",NA,"1998"
"","Wide Awake","","","$305,704",NA,"1998"
"","Wild Things","Thriller/Suspense","$20,000,000","$29,795,299",NA,"1998"
"March 25","A Price Above Rubies","Drama","","$1,118,808",NA,"1998"
"March 27","Couloirs du temps: Les visiteurs 2, Les","Comedy","$20,000,000","$146,072",NA,"1998"
"","Karakter","Drama","$4,500,000","$713,413",NA,"1998"
"","Meet the Deedles","Comedy","$24,000,000","$4,356,126",NA,"1998"
"","The Newton Boys","Drama","$27,000,000","$10,341,093",NA,"1998"
"","No Looking Back","","$5,000,000","$143,273",NA,"1998"
"","The Proposition","Drama","","$1,622,381",NA,"1998"
"","Ride","Comedy","","$5,485,295",NA,"1998"
"April 3","Artemisia","Drama","","$377,512",NA,"1998"
"","Barney's Great Adventure","Adventure","$15,000,000","$11,156,471",NA,"1998"
"","The Butcher Boy","Drama","","$1,822,193",NA,"1998"
"","Heaven's Burning","","","$5,000",NA,"1998"
"","Lost In Space","Adventure","$80,000,000","$69,117,629",NA,"1998"
"","Mercury Rising","Thriller/Suspense","$60,000,000","$32,983,332",NA,"1998"
"","The Spanish Prisoner","Drama","$10,000,000","$10,162,034",NA,"1998"
"","Warners 75th","","","$498,426",NA,"1998"
"April 8","The Players Club","Drama","$5,000,000","$23,047,939",NA,"1998"
"April 10","3 Ninjas: High Noon at Mega Mountain","Action","","$308,082",NA,"1998"
"","The Big One","Documentary","","$720,074",NA,"1998"
"","City of Angels","Drama","$55,000,000","$78,750,909",NA,"1998"
"","I Think I Do","","","$278,332",NA,"1998"
"","The Last of the High Kings","","","$2,647",NA,"1998"
"","My Giant","Comedy","","$7,985,929",NA,"1998"
"","The Odd Couple II","Comedy","","$18,912,328",NA,"1998"
"","Species 2","Horror","","$19,217,565",NA,"1998"
"April 14","Every Girl Should Be Married","Romantic Comedy","","$0",NA,"1998"
"April 15","24 7: Twenty Four Seven","Comedy","$2,000,000","$72,544",NA,"1998"
"April 17","Chinese Box","Drama","","$2,265,328",NA,"1998"
"","Homegrown","","","$215,553",NA,"1998"
"","Major League: Back to the Minors","Comedy","","$3,551,208",NA,"1998"
"","Nightwatch","Thriller/Suspense","","$1,278,516",NA,"1998"
"","The Object of my Affection","Romantic Comedy","$15,000,000","$29,145,924",NA,"1998"
"","Paulie","Comedy","","$27,084,499",NA,"1998"
"","Sour Grapes","","","$219,932",NA,"1998"
"","Suicide Kings","Drama","","$1,692,872",NA,"1998"
"","Wild Man Blues","","","$483,917",NA,"1998"
"April 22","Deja Vu","Drama","","$821,997",NA,"1998"
"April 24","The Big Hit","Action","$13,000,000","$27,066,941",NA,"1998"
"","In God's Hands","Action","","$1,431,239",NA,"1998"
"","Music From Another Room","","","$5,000",NA,"1998"
"","Sliding Doors","Drama","$6,000,000","$11,911,200",NA,"1998"
"","Tarzan and the Lost City","Adventure","","$2,147,114",NA,"1998"
"","The Truce","","","$71,448",NA,"1998"
"","Two Girls and a Guy","Drama","$1,000,000","$2,057,193",NA,"1998"
"May 1","Black Dog","Action","","$12,857,351",NA,"1998"
"","Dancer, Texas Pop. 81","Comedy","$2,300,000","$574,838",NA,"1998"
"","Friend of Deceased","","","$157,437",NA,"1998"
"","Go Now!","","","$3,657",NA,"1998"
"","He Got Game","Drama","$25,000,000","$21,567,853",NA,"1998"
"","Les Miserables","Drama","","$13,887,945",NA,"1998"
"","Shooting Fish","","$4,000,000","$302,204",NA,"1998"
"","Still Breathing","","","$212,267",NA,"1998"
"","Two Moon Junction","Drama","","$1,547,397",NA,"1998"
"","Wilde","Drama","","$2,157,701",NA,"1998"
"May 4","Bugs Bunny Film Fest","Comedy","","$352,397",NA,"1998"
"May 8","Africa's Elephant Kingdom","Documentary","","$13,485,455",NA,"1998"
"","Deep Impact","Adventure","$80,000,000","$140,464,664",NA,"1998"
"","The Kingdom, Part II","","","$8,294",NA,"1998"
"","Louisa May Alcott's Little Men","","","$4,092",NA,"1998"
"","Shopping for Fangs","","","$2,194",NA,"1998"
"","Woo","Romantic Comedy","$13,000,000","$8,064,972",NA,"1998"
"May 15","Bulworth","Comedy","$30,000,000","$26,528,684",NA,"1998"
"","The Climb","","","$78,677",NA,"1998"
"","Clockwatchers","","$2,000,000","$537,948",NA,"1998"
"","The Horse Whisperer","Drama","$60,000,000","$75,383,563",NA,"1998"
"","Lawn Dogs","","","$106,292",NA,"1998"
"","Plump Fiction","Comedy","","$37,260",NA,"1998"
"","Quest for Camelot","Adventure","$40,000,000","$22,772,500",NA,"1998"
"May 19","Godzilla","Action","$125,000,000","$136,314,294",NA,"1998"
"May 22","Fear and Loathing in Las Vegas","Comedy","$18,500,000","$10,680,275",NA,"1998"
"","The Opposite of Sex","Black Comedy","","$6,367,164",NA,"1998"
"May 27","I Got the Hook-Up!","Comedy","$3,500,000","$10,317,779",NA,"1998"
"May 29","Almost Heroes","Comedy","","$6,175,688",NA,"1998"
"","Hope Floats","Drama","$30,000,000","$60,110,313",NA,"1998"
"","Insomnia","","","$221,173",NA,"1998"
"","The Last Days of Disco","Drama","","$3,024,198",NA,"1998"
"","Little Boy Blue","","","$3,526",NA,"1998"
"June 2","Fathers Little Dividend","Comedy","","$0",NA,"1998"
"June 5","Charlie Hoboken","Comedy","","$0",NA,"1998"
"","Jenseits der Stille","Drama","","$171,334",NA,"1998"
"","Mr. Jealousy","","","$287,752",NA,"1998"
"","A Perfect Murder","Thriller/Suspense","","$67,658,331",NA,"1998"
"","The Truman Show","Drama","$60,000,000","$125,618,201",NA,"1998"
"June 12","Can't Hardly Wait","Comedy","$10,000,000","$25,358,996",NA,"1998"
"","Cousin Bette","Comedy","","$1,161,063",NA,"1998"
"","Dirty Work","Comedy","$13,000,000","$10,020,081",NA,"1998"
"","High Art","Drama","","$1,835,565",NA,"1998"
"","The Land Girls","","$8,000,000","$146,083",NA,"1998"
"","Passion in the Desert","","","$181,083",NA,"1998"
"","Six Days, Seven Nights","Romantic Comedy","$80,000,000","$74,339,294",NA,"1998"
"June 19","Dream for an Insomniac","","","$5,000",NA,"1998"
"","Hav Plenty","Comedy","$650,000","$2,301,777",NA,"1998"
"","Henry Fool","Comedy","","$1,334,786",NA,"1998"
"","Mulan","Adventure","$90,000,000","$120,620,254",NA,"1998"
