"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 18","Pigeon Impossible","Adventure","","$0",""
"","PLAYMOBIL","","","$0",""
"","Untitled Universal Event Film","","","$0",""
"February 8","The LEGO Movie 2","Adventure","","$0",""
"February 15","Untitled Universal Monster Franchise Film","","","$0",""
"March 8","Captain Marvel","Action","","$0",""
"March 22","Godzilla: King of the Monsters","Action","","$0",""
"","Untitled Paramount/Nickelodeon Animation Film","","","$0",""
"March 29","Untitled Disney Fairy Tale","","","$0",""
"April 5","Shazam!","Action","","$0",""
"April 12","Untitled Disneytoon Movie","","","$0",""
"April 19","Fast and Furious 9","Action","","$0",""
"May 3","Untitled Avengers Movie","Action","","$0",""
"May 10","Ugly Dolls","","","$0",""
"May 24","Bad Boys 4","Action","","$0",""
"","Minecraft","Action","","$0",""
"","Untitled Doctor Dolittle Project","Adventure","","$0",""
"June 14","Justice League: Part Two","Action","","$0",""
"June 15","The Incredibles 2","Adventure","","$0",""
"June 21","Toy Story 4","Adventure","","$0",""
"June 28","Transformers 7","","","$0",""
"July 3","The Secret Life of Pets 2","","","$0",""
"July 5","Spider-Man: Homecoming 2","Action","","$0",""
"July 19","Indiana Jones 5","Action","","$0",""
"July 26","SPA Animated Franchise","","","$0",""
"August 2","The Spongebob Movie","Adventure","","$0",""
"","Untitled Warner Brothers Event Film","","","$0",""
"September 27","Everest","","","$0",""
"","Untitled Warner Brothers Event Film #2","","","$0",""
"November 1","Untitled Warner DC Project","Action","","$0",""
"November 8","Untitled Disney Fairy-Tale #1","","","$0",""
"November 27","Untitled Disney Animation","","","$0",""
"December 20","WICKED","Musical","","$0",""
"December 25","SPA Animated Franchise 2","","","$0",""
"December 31","Hancock 2","Action","","$0",""
"","Star Wars: Ep. IX","Action","","$0",""
