"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Battle for the Planet of the Apes","","$1,800,000","$8,800,000",""
"","Charlotte's Web","","","$0",""
"","The Day of the Dolphin","","","$2,300,000",""
"","Jonathan Livingston Seagull","","","$1,600,000",""
"","The Last Detail","","","$10,000,000",""
"","Lost Horizon","","","$3,000,000",""
"","La nuit américaine","Drama","","$17,808",""
"","Paper Moon","","","$30,933,743",""
"","A Touch of Class","","","$16,800,000",""
"","Westworld","Action","","$3,000,000",""
"February 2","The World's Greatest Athlete","","","$22,583,370",""
"May 18","The Day of the Jackal","","","$16,056,255",""
"May 23","Pat Garrett and Billy the Kid","","$4,638,783","$8,000,000",""
"June 27","Live and Let Die","Action","$7,000,000","$35,400,000",""
"August 11","American Graffiti","Drama","$777,000","$115,000,000",""
"August 15","Enter the Dragon","","","$21,483,063",""
"August 17","Jesus Christ Superstar","Musical","","$24,477,615",""
"August 22","High Plains Drifter","Western","$5,500,000","$15,700,000",""
"October 2","Mean Streets","Drama","","$32,645",""
"October 19","The Way We Were","","","$49,919,870",""
"October 24","Ivanhoe","","","$0",""
"November 8","Robin Hood","Adventure","","$32,056,467",""
"December 1","La planète sauvage","","","$0",""
"December 5","Serpico","","","$27,274,150",""
"December 16","Papillon","Drama","","$53,267,000",""
"December 17","Sleeper","Comedy","$2,000,000","$18,344,729",""
"December 25","The Sting","Comedy","$5,500,000","$159,616,327",""
"December 26","The Exorcist","Horror","$12,000,000","$202,347,346",""
"December 28","Magnum Force","Action","","$44,680,473",""
"December 31","Ash Wednesday","","","$0",""
"","Divorce His, Divorce Hers","","","$0",""
"","Godzilla vs. Megalon","","","$0",""
"","Soylent Green","Thriller/Suspense","","$0",""
